Status	E001	E002	E003	E004	E005	E006	E007	E008	E009	E010	E011	E012	E013	E014	E015	E016	E017	E018	E019	E020	E021	E022	E023	E024	E025	E026	E027	E028	E029	E030	E031	E032	E033	E034	E035	E036	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E051	E052	E053	E054	E055	E056	E057	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E070	E071	E072	E073	E074	E075	E076	E077	E078	E079	E080	E081	E082	E083	E084	E085	E086	E087	E088	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E107	E108	E109	E110	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
21_Het	20	18	16	17	2	2	11	16	8	9	15	15	8	18	13	15	2	16	17	18	14	6	9	10	7	5	3	3	4	6	9	5	4	4	11	9	5	4	5	6	4	4	4	4	5	4	6	5	6	4	5	5	5	5	2	4	3	2	5	2	4	7	1	6	13	10	11	6	11	13	10	12	2	8	3	8	2	4	6	4	7	3	3	7	6	7	6	4	5	5	5	2	2	2	3	2	2	4	3	4	3	3	5	2	4	3	4	4	2	4	2	3	5	4	2	2	2	4	4	3	3	5	3	4	2	6	4
22_PromP	5	8	4	6	19	5	5	4	10	4	9	4	5	2	6	6	5	2	5	5	7	9	6	4	4	10	7	7	17	18	14	13	4	6	10	18	10	2	5	8	9	8	6	7	9	9	12	9	7	13	13	3	20	5	5	6	6	6	4	22	4	10	14	21	8	8	14	14	5	10	8	7	11	13	18	8	15	13	4	6	3	22	16	7	20	6	10	13	17	10	5	18	4	9	12	10	7	13	10	13	11	6	4	14	9	8	15	16	11	3	15	7	8	8	5	16	8	2	3	7	20	14	5	1	9	4	5
23_PromBiv	12	21	17	15	10	9	19	15	16	17	24	20	20	16	17	13	7	23	15	17	15	17	13	18	16	3	10	8	5	4	9	6	13	9	3	2	8	7	8	7	8	7	8	6	6	6	6	9	5	0	0	6	21	15	9	12	11	8	8	7	6	13	9	16	12	12	11	20	8	12	15	13	13	10	15	5	9	26	15	12	19	17	18	22	15	23	18	21	24	20	12	10	8	8	11	9	14	11	9	11	10	8	8	12	15	21	13	17	10	11	5	17	16	10	10	25	7	9	6	19	15	3	6	3	5	9	5
24_ReprPC	51	56	49	51	33	67	47	54	42	46	49	46	67	57	49	49	109	46	52	55	43	38	119	50	91	126	53	58	29	43	34	26	36	31	47	30	44	36	39	51	38	47	43	42	46	31	44	45	114	26	24	113	47	62	97	118	92	70	97	59	34	58	24	31	54	53	52	87	31	52	54	50	29	52	21	41	12	45	72	64	54	39	38	56	30	42	74	67	58	64	39	18	25	24	35	17	65	22	18	17	55	27	35	20	52	52	22	26	45	40	24	51	32	25	69	36	93	112	100	76	34	27	131	141	66	124	128
25_Quies	1302	1294	1343	1336	1271	1292	1311	1311	1331	1349	1306	1321	1296	1343	1352	1361	1272	1322	1337	1336	1380	1318	1167	1354	1239	1264	1209	1265	1110	1031	923	1097	1058	1060	999	1097	1045	1075	1073	1049	1053	1056	1066	1057	1026	1085	1043	1051	1267	1029	1136	1286	1300	1315	1261	1247	1219	1276	1215	1286	1060	1171	1361	1199	1252	1225	1235	1264	1250	1241	1228	1231	1227	1211	1190	1178	1310	1230	1278	1324	1268	1222	1239	1235	1303	1248	1226	1227	1167	1235	1070	1299	1302	1249	1308	1305	1263	1322	1201	1233	1240	1342	1270	1212	1245	1209	1187	1155	1260	1082	1173	1293	1127	1083	1266	1259	1236	1278	1272	1310	1186	1035	1237	1235	1304	1258	1254
2_PromU	14	8	11	11	11	13	10	11	12	14	7	13	12	9	12	11	14	10	9	10	10	2	15	11	12	12	13	13	24	22	15	15	15	22	25	34	21	32	28	27	21	14	24	15	22	27	23	29	14	23	28	13	15	16	12	12	14	12	11	8	27	14	6	22	12	13	15	8	16	10	12	13	25	17	22	29	9	14	9	13	20	17	12	14	14	17	17	14	10	16	21	7	17	14	14	6	13	14	22	31	23	11	12	19	22	14	19	21	23	24	22	17	18	21	19	15	16	12	17	9	18	19	14	11	17	9	12
3_PromD1	11	6	15	9	11	16	9	13	14	13	11	10	14	11	12	12	18	12	9	12	10	18	15	12	17	13	20	17	30	31	35	33	29	40	24	20	35	28	34	32	44	46	31	48	29	28	32	28	15	34	36	14	12	11	21	19	16	22	18	23	22	22	10	24	14	18	15	16	20	19	17	14	18	25	23	26	25	19	16	15	14	26	28	12	13	16	15	18	27	23	34	17	15	20	8	19	16	12	29	23	19	23	17	19	16	20	20	23	17	27	26	17	24	18	19	23	16	11	11	15	16	33	14	10	22	12	14
4_PromD2	3	4	3	2	2	2	4	4	2	3	2	2	1	2	3	3	1	3	3	2	2	3	2	3	2	2	1	2	10	11	7	3	17	9	11	11	4	4	4	4	2	10	4	8	9	4	5	4	2	2	0	1	3	3	3	1	5	2	7	3	18	4	3	2	3	3	5	2	5	3	2	4	5	4	7	3	3	1	2	2	3	1	3	4	4	1	1	2	3	2	8	6	3	2	5	5	3	4	5	4	1	4	3	4	3	2	4	9	1	14	7	2	7	14	4	3	2	2	2	1	6	1	3	4	0	2	1
5_Tx5'	61	71	64	53	70	56	60	64	66	66	63	51	67	58	63	60	54	50	54	63	56	51	43	53	45	52	57	50	39	25	66	36	48	62	45	40	43	58	49	39	45	39	46	43	38	48	48	39	48	37	41	50	65	66	60	53	48	54	59	67	54	37	64	50	55	60	63	61	68	58	49	56	67	54	63	48	61	47	53	64	59	53	50	53	64	56	58	59	58	49	51	65	62	63	53	66	60	57	53	50	48	70	64	50	56	62	49	50	45	52	68	57	45	38	57	45	42	55	56	50	50	36	51	49	44	54	44
6_Tx	18	15	12	9	16	16	12	10	21	20	24	26	29	15	17	15	15	10	15	12	9	7	26	22	24	25	26	34	24	39	32	26	29	30	32	30	25	27	32	20	32	19	35	32	37	25	25	24	26	32	33	32	20	17	22	20	31	18	20	20	43	20	9	23	14	16	17	14	18	15	19	16	22	19	18	23	13	24	12	18	15	20	22	14	13	15	27	24	17	26	25	17	10	11	11	7	20	11	22	17	17	7	13	20	12	13	22	21	14	23	27	17	18	19	19	21	22	13	14	17	18	37	22	20	17	15	23
7_Tx3'	69	83	80	91	73	70	67	85	71	79	67	87	63	68	69	71	73	86	72	76	68	76	83	60	73	77	79	81	125	120	118	86	87	84	126	125	80	77	82	90	66	89	69	79	86	89	85	74	78	105	96	75	74	70	64	71	93	72	92	69	82	90	62	79	86	81	78	73	65	78	80	86	92	94	90	90	77	98	74	58	80	95	97	101	86	90	98	93	100	90	101	74	63	72	69	77	86	65	86	97	103	70	74	85	87	74	97	98	93	104	79	66	84	94	69	98	96	78	75	73	106	91	77	94	87	79	75
8_TxWk	136	125	132	123	144	134	152	140	121	92	121	115	125	122	118	125	116	134	134	126	138	178	131	135	102	86	166	126	163	175	220	137	136	144	237	171	137	131	113	128	128	114	118	125	142	155	154	148	83	208	183	86	140	138	123	115	148	147	158	124	135	146	143	148	165	173	164	148	164	177	169	165	143	134	136	151	154	127	143	159	131	140	118	137	133	135	116	132	136	131	126	167	177	162	163	166	110	147	151	131	118	141	157	143	130	157	155	169	124	142	157	129	137	135	136	109	160	114	118	108	121	246	119	120	114	115	117
9_TxReg	0	0	0	1	1	3	0	0	0	0	1	1	3	1	0	0	1	0	0	1	0	0	10	0	6	8	6	6	21	28	19	25	8	29	7	16	31	21	36	27	80	45	36	39	31	19	17	28	7	29	30	5	0	0	6	6	3	5	4	5	3	15	1	6	4	6	8	0	11	4	7	8	6	4	10	10	1	9	1	0	2	6	9	1	0	5	12	11	7	11	29	1	2	2	0	1	1	1	10	7	4	2	3	2	4	4	4	2	4	6	11	7	13	16	4	2	9	3	7	7	2	40	2	2	9	3	5
