Status	E001	E002	E003	E004	E005	E006	E007	E008	E009	E010	E011	E012	E013	E014	E015	E016	E017	E018	E019	E020	E021	E022	E023	E024	E025	E026	E027	E028	E029	E030	E031	E032	E033	E034	E035	E036	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E051	E052	E053	E054	E055	E056	E057	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E070	E071	E072	E073	E074	E075	E076	E077	E078	E079	E080	E081	E082	E083	E084	E085	E086	E087	E088	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E107	E108	E109	E110	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
1_TssA	5	4	1	1	1	1	1	0	1	1	1	1	0	5	1	0	1	3	3	1	1	1	0	1	1	1	6	1	0	0	3	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	1	1	1	0	9	1	0	1	1	1	0	6	1	1	1	4	0	5	0	4	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	6	3	1	2	1	7	1	1	0	4	5	0	0	0	4	3	1	0	0	1	0	2	1	1	0	1	1	1	2	0	1	2	1	1	1
20_ZNF/Rpts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21_Het	5	2	3	4	0	0	0	3	1	2	3	2	2	4	1	3	0	3	4	4	2	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	2	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	2	2	2	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0
22_PromP	0	3	3	4	10	1	2	3	5	2	5	0	3	1	3	3	2	0	4	3	3	4	1	3	2	0	3	3	7	7	5	2	0	0	2	8	6	1	0	3	5	3	0	2	3	0	5	6	1	6	9	1	9	2	1	1	1	4	0	12	0	2	9	9	5	4	7	3	1	7	5	6	4	3	9	0	6	5	1	1	1	11	9	1	11	1	2	5	10	1	0	11	1	2	9	8	1	7	7	8	0	2	0	8	8	4	7	7	5	0	10	4	3	4	3	4	4	2	3	3	10	9	2	0	5	2	1
23_PromBiv	8	9	10	7	3	3	9	8	9	11	11	13	12	8	10	9	0	10	7	10	7	7	8	11	11	1	4	3	2	2	3	2	4	4	0	1	1	0	2	0	0	0	2	0	0	2	0	1	0	0	0	1	15	9	2	4	6	2	3	3	2	5	5	5	7	7	5	14	2	5	9	6	5	9	5	3	3	18	9	6	11	11	11	12	9	14	13	13	15	16	5	3	2	2	5	3	8	4	3	4	10	4	2	1	7	13	1	5	7	5	5	8	10	3	1	12	7	1	1	13	9	0	1	1	4	1	1
24_ReprPC	9	12	8	11	14	28	10	12	6	8	10	7	18	12	8	10	49	8	10	12	12	11	36	11	32	43	16	13	7	10	9	6	8	5	12	8	10	10	8	12	9	10	8	10	10	6	11	10	42	5	3	35	5	12	39	50	34	30	44	20	7	17	4	9	19	20	10	17	8	15	11	11	11	15	5	12	3	13	11	17	13	23	18	15	7	15	26	26	26	24	10	8	5	9	9	7	23	4	6	4	17	5	10	9	15	11	9	11	16	7	5	14	4	6	23	11	28	35	35	21	9	8	44	45	16	49	44
25_Quies	355	359	374	368	329	339	347	368	356	352	347	358	348	365	375	379	323	365	367	369	382	366	316	377	325	332	333	341	285	264	236	290	281	290	244	294	291	292	293	292	284	296	288	281	289	294	280	289	334	279	300	341	353	360	331	321	332	344	317	345	280	307	371	319	345	327	342	349	333	336	338	333	332	329	315	312	354	315	354	369	349	323	327	334	351	338	319	316	292	322	283	350	360	335	355	351	326	359	309	322	333	369	347	316	325	325	308	313	339	277	283	343	301	275	334	334	341	341	337	350	313	250	326	332	352	327	330
2_PromU	5	3	3	2	2	3	3	4	4	4	4	4	4	3	4	4	5	5	3	4	3	1	4	2	4	3	5	5	9	8	7	7	6	11	13	18	8	19	17	13	6	7	17	10	12	16	12	17	4	10	11	3	5	5	4	4	3	4	4	3	16	7	2	13	4	5	6	5	9	5	4	6	13	6	14	19	5	4	3	4	6	4	3	3	3	5	6	5	4	7	13	1	10	7	2	3	3	4	13	16	6	8	8	12	11	6	12	13	8	16	7	7	8	12	8	6	4	3	3	2	9	8	3	1	6	1	2
3_PromD1	3	1	5	3	2	2	2	4	3	3	3	3	3	4	4	4	4	4	3	5	3	3	4	4	4	4	3	3	11	11	16	16	10	17	9	3	15	11	10	14	24	23	11	24	14	13	13	9	5	14	16	4	3	4	5	5	4	4	3	4	7	5	2	6	3	3	3	3	5	4	4	3	3	7	4	7	3	5	4	3	4	7	5	3	3	5	4	6	6	6	11	3	2	3	1	3	3	2	7	5	6	4	2	2	2	5	4	5	4	10	7	5	6	4	5	6	3	2	4	3	3	16	3	3	5	3	4
4_PromD2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	1	10	3	3	1	1	1	0	0	0	2	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	1	1	0	1	1	0	0	1	1	1	1	0	1	2	0	3	3	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0
5_Tx5'	13	15	13	12	15	11	14	14	14	15	14	13	14	13	15	13	12	13	14	14	14	13	7	10	7	9	7	8	9	3	21	8	9	11	10	8	10	13	11	8	7	6	11	9	8	11	9	9	8	8	8	11	15	16	15	10	10	10	15	11	9	7	11	11	12	14	15	15	17	15	14	13	14	10	15	10	13	12	11	15	11	13	14	12	13	13	12	13	14	13	11	15	11	10	10	14	14	10	12	13	10	14	11	7	9	12	14	13	11	11	11	13	7	10	11	12	8	9	12	9	10	13	10	9	9	8	7
6_Tx	4	3	2	0	3	1	3	2	4	5	5	6	5	4	4	4	0	2	4	3	2	2	2	6	4	3	6	5	5	5	3	1	4	4	3	4	4	3	3	3	2	2	3	5	7	3	3	2	3	3	4	3	5	5	4	3	4	4	4	3	7	4	1	6	3	3	4	4	4	3	5	3	6	4	3	5	4	2	2	4	2	5	4	2	3	2	5	3	4	3	4	5	2	3	2	2	4	1	4	3	3	1	2	4	2	2	4	4	2	4	7	2	1	2	3	3	1	0	2	2	3	6	0	1	0	0	2
7_Tx3'	7	11	14	14	8	9	9	13	8	9	7	9	7	10	9	10	13	13	10	12	10	10	11	6	7	8	5	7	14	17	12	7	8	8	18	15	7	8	9	9	7	12	9	9	9	10	11	7	9	15	8	9	8	9	7	7	9	8	7	6	8	8	8	6	8	7	9	8	5	7	7	8	6	7	7	6	9	12	12	8	8	8	7	9	7	9	8	9	11	8	11	7	8	8	8	11	6	8	8	10	8	8	8	8	7	7	7	8	9	13	10	6	9	8	7	8	12	11	8	9	9	12	11	13	12	12	10
8_TxWk	17	18	19	17	22	18	27	16	20	19	19	23	16	19	16	18	16	19	18	18	20	22	16	24	19	17	22	23	32	39	48	17	21	24	66	29	20	24	20	26	33	17	22	22	28	28	31	24	14	35	33	14	26	24	15	15	24	20	30	16	30	22	20	21	30	34	30	30	28	35	30	33	20	27	21	25	27	23	26	27	21	19	20	22	22	21	26	28	15	26	21	23	19	23	25	24	15	15	32	25	21	16	19	24	25	21	28	24	19	36	41	16	17	25	20	20	19	14	16	15	26	57	16	15	16	17	19
9_TxReg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	4	8	4	1	5	14	1	3	16	11	19	14	27	14	19	14	14	5	11	16	0	5	5	2	0	0	1	0	0	0	2	3	1	1	0	3	2	2	2	0	2	2	1	2	2	0	5	0	0	0	0	0	0	1	4	0	0	0	1	2	4	6	15	0	0	0	0	0	0	0	3	4	1	0	0	0	0	0	0	1	1	4	4	2	7	0	2	1	1	1	3	1	0	9	1	0	1	0	1
