random	SNP_n	Gene_n
gtex_rsid2626.bed	3	3
gtex_rsid2627.bed	6	15
gtex_rsid2628.bed	5	6
gtex_rsid2629.bed	4	6
gtex_rsid2630.bed	6	11
gtex_rsid2631.bed	5	33
gtex_rsid2632.bed	12	18
gtex_rsid2633.bed	2	16
gtex_rsid2634.bed	7	12
gtex_rsid2635.bed	6	6
gtex_rsid2636.bed	7	9
gtex_rsid2637.bed	4	6
gtex_rsid2638.bed	6	15
gtex_rsid2639.bed	6	12
gtex_rsid2640.bed	7	11
gtex_rsid2641.bed	3	6
gtex_rsid2642.bed	9	42
gtex_rsid2643.bed	5	10
gtex_rsid2644.bed	2	2
gtex_rsid2645.bed	4	4
gtex_rsid2646.bed	3	35
gtex_rsid2647.bed	7	17
gtex_rsid2648.bed	4	9
gtex_rsid2649.bed	5	12
gtex_rsid2650.bed	7	16
gtex_rsid2651.bed	0	0
gtex_rsid2652.bed	6	14
gtex_rsid2653.bed	6	9
gtex_rsid2654.bed	4	10
gtex_rsid2655.bed	4	5
gtex_rsid2656.bed	3	3
gtex_rsid2657.bed	5	13
gtex_rsid2658.bed	3	3
gtex_rsid2659.bed	2	9
gtex_rsid2660.bed	4	10
gtex_rsid2661.bed	1	2
gtex_rsid2662.bed	4	6
gtex_rsid2663.bed	1	1
gtex_rsid2664.bed	3	7
gtex_rsid2665.bed	4	4
gtex_rsid2666.bed	5	11
gtex_rsid2667.bed	5	7
gtex_rsid2668.bed	5	11
gtex_rsid2669.bed	6	21
gtex_rsid2670.bed	4	8
gtex_rsid2671.bed	2	6
gtex_rsid2672.bed	4	9
gtex_rsid2673.bed	5	6
gtex_rsid2674.bed	2	3
gtex_rsid2675.bed	6	9
gtex_rsid2676.bed	4	8
gtex_rsid2677.bed	12	21
gtex_rsid2678.bed	6	8
gtex_rsid2679.bed	4	5
gtex_rsid2680.bed	4	4
gtex_rsid2681.bed	4	8
gtex_rsid2682.bed	3	5
gtex_rsid2683.bed	8	40
gtex_rsid2684.bed	3	8
gtex_rsid2685.bed	3	3
gtex_rsid2686.bed	2	3
gtex_rsid2687.bed	5	6
gtex_rsid2688.bed	1	4
gtex_rsid2689.bed	6	12
gtex_rsid2690.bed	5	6
gtex_rsid2691.bed	3	11
gtex_rsid2692.bed	1	7
gtex_rsid2693.bed	9	15
gtex_rsid2694.bed	2	3
gtex_rsid2695.bed	6	15
gtex_rsid2696.bed	3	9
gtex_rsid2697.bed	4	7
gtex_rsid2698.bed	4	5
gtex_rsid2699.bed	6	7
gtex_rsid2700.bed	5	7
gtex_rsid2701.bed	1	5
gtex_rsid2702.bed	5	7
gtex_rsid2703.bed	2	5
gtex_rsid2704.bed	4	7
gtex_rsid2705.bed	5	11
gtex_rsid2706.bed	6	20
gtex_rsid2707.bed	5	8
gtex_rsid2708.bed	6	16
gtex_rsid2709.bed	6	14
gtex_rsid2710.bed	5	10
gtex_rsid2711.bed	7	11
gtex_rsid2712.bed	4	5
gtex_rsid2713.bed	0	0
gtex_rsid2714.bed	5	12
gtex_rsid2715.bed	7	16
gtex_rsid2716.bed	5	6
gtex_rsid2717.bed	5	16
gtex_rsid2718.bed	5	6
gtex_rsid2719.bed	8	15
gtex_rsid2720.bed	3	5
gtex_rsid2721.bed	3	11
gtex_rsid2722.bed	3	7
gtex_rsid2723.bed	4	13
gtex_rsid2724.bed	5	13
gtex_rsid2725.bed	8	18
gtex_rsid2726.bed	1	2
gtex_rsid2727.bed	3	10
gtex_rsid2728.bed	5	7
gtex_rsid2729.bed	7	13
gtex_rsid2730.bed	2	2
gtex_rsid2731.bed	6	21
gtex_rsid2732.bed	7	8
gtex_rsid2733.bed	4	7
gtex_rsid2734.bed	3	3
gtex_rsid2735.bed	11	19
gtex_rsid2736.bed	3	3
gtex_rsid2737.bed	4	7
gtex_rsid2738.bed	4	5
gtex_rsid2739.bed	9	28
gtex_rsid2740.bed	1	1
gtex_rsid2741.bed	4	4
gtex_rsid2742.bed	9	11
gtex_rsid2743.bed	3	8
gtex_rsid2744.bed	6	10
gtex_rsid2745.bed	4	4
gtex_rsid2746.bed	5	10
gtex_rsid2747.bed	4	5
gtex_rsid2748.bed	2	2
gtex_rsid2749.bed	4	5
gtex_rsid2750.bed	5	12
gtex_rsid2751.bed	3	9
gtex_rsid2752.bed	1	1
gtex_rsid2753.bed	4	7
gtex_rsid2754.bed	8	12
gtex_rsid2755.bed	6	13
gtex_rsid2756.bed	5	8
gtex_rsid2757.bed	3	5
gtex_rsid2758.bed	6	6
gtex_rsid2759.bed	6	9
gtex_rsid2760.bed	4	4
gtex_rsid2761.bed	3	5
gtex_rsid2762.bed	2	4
gtex_rsid2763.bed	4	6
gtex_rsid2764.bed	8	20
gtex_rsid2765.bed	7	15
gtex_rsid2766.bed	5	11
gtex_rsid2767.bed	6	22
gtex_rsid2768.bed	3	7
gtex_rsid2769.bed	1	2
gtex_rsid2770.bed	8	20
gtex_rsid2771.bed	4	15
gtex_rsid2772.bed	3	6
gtex_rsid2773.bed	7	8
gtex_rsid2774.bed	9	24
gtex_rsid2775.bed	2	2
gtex_rsid2776.bed	4	5
gtex_rsid2777.bed	0	0
gtex_rsid2778.bed	0	0
gtex_rsid2779.bed	6	34
gtex_rsid2780.bed	4	4
gtex_rsid2781.bed	4	4
gtex_rsid2782.bed	5	12
gtex_rsid2783.bed	2	3
gtex_rsid2784.bed	3	14
gtex_rsid2785.bed	2	2
gtex_rsid2786.bed	4	5
gtex_rsid2787.bed	3	5
gtex_rsid2788.bed	4	10
gtex_rsid2789.bed	1	9
gtex_rsid2790.bed	3	5
gtex_rsid2791.bed	3	15
gtex_rsid2792.bed	4	5
gtex_rsid2793.bed	2	2
gtex_rsid2794.bed	6	37
gtex_rsid2795.bed	5	15
gtex_rsid2796.bed	8	18
gtex_rsid2797.bed	3	8
gtex_rsid2798.bed	6	14
gtex_rsid2799.bed	5	8
gtex_rsid2800.bed	5	6
gtex_rsid2801.bed	3	5
gtex_rsid2802.bed	6	14
gtex_rsid2803.bed	2	3
gtex_rsid2804.bed	6	8
gtex_rsid2805.bed	3	5
gtex_rsid2806.bed	5	11
gtex_rsid2807.bed	6	9
gtex_rsid2808.bed	5	9
gtex_rsid2809.bed	4	11
gtex_rsid2810.bed	9	17
gtex_rsid2811.bed	3	7
gtex_rsid2812.bed	1	1
gtex_rsid2813.bed	1	4
gtex_rsid2814.bed	3	13
gtex_rsid2815.bed	3	9
gtex_rsid2816.bed	4	6
gtex_rsid2817.bed	2	3
gtex_rsid2818.bed	3	3
gtex_rsid2819.bed	5	5
gtex_rsid2820.bed	5	7
gtex_rsid2821.bed	5	8
gtex_rsid2822.bed	4	7
gtex_rsid2823.bed	4	9
gtex_rsid2824.bed	1	2
gtex_rsid2825.bed	4	15
gtex_rsid2826.bed	11	23
gtex_rsid2827.bed	9	16
gtex_rsid2828.bed	3	4
gtex_rsid2829.bed	3	5
gtex_rsid2830.bed	4	10
gtex_rsid2831.bed	5	5
gtex_rsid2832.bed	3	4
gtex_rsid2833.bed	6	8
gtex_rsid2834.bed	5	14
gtex_rsid2835.bed	5	16
gtex_rsid2836.bed	3	7
gtex_rsid2837.bed	6	13
gtex_rsid2838.bed	3	5
gtex_rsid2839.bed	4	4
gtex_rsid2840.bed	6	10
gtex_rsid2841.bed	7	11
gtex_rsid2842.bed	8	17
gtex_rsid2843.bed	6	12
gtex_rsid2844.bed	2	9
gtex_rsid2845.bed	4	7
gtex_rsid2846.bed	6	11
gtex_rsid2847.bed	3	4
gtex_rsid2848.bed	3	13
gtex_rsid2849.bed	6	14
gtex_rsid2850.bed	5	6
gtex_rsid2851.bed	5	6
gtex_rsid2852.bed	2	4
gtex_rsid2853.bed	5	8
gtex_rsid2854.bed	3	5
gtex_rsid2855.bed	5	7
gtex_rsid2856.bed	5	10
gtex_rsid2857.bed	10	14
gtex_rsid2858.bed	2	4
gtex_rsid2859.bed	6	6
gtex_rsid2860.bed	4	10
gtex_rsid2861.bed	7	39
gtex_rsid2862.bed	2	2
gtex_rsid2863.bed	3	6
gtex_rsid2864.bed	2	3
gtex_rsid2865.bed	3	7
gtex_rsid2866.bed	6	10
gtex_rsid2867.bed	5	7
gtex_rsid2868.bed	5	17
gtex_rsid2869.bed	4	14
gtex_rsid2870.bed	6	14
gtex_rsid2871.bed	3	5
gtex_rsid2872.bed	4	17
gtex_rsid2873.bed	7	15
gtex_rsid2874.bed	7	8
gtex_rsid2875.bed	6	8
gtex_rsid2876.bed	6	10
gtex_rsid2877.bed	8	10
gtex_rsid2878.bed	4	4
gtex_rsid2879.bed	3	5
gtex_rsid2880.bed	3	3
gtex_rsid2881.bed	7	8
gtex_rsid2882.bed	5	5
gtex_rsid2883.bed	5	8
gtex_rsid2884.bed	1	1
gtex_rsid2885.bed	6	13
gtex_rsid2886.bed	5	7
gtex_rsid2887.bed	2	3
gtex_rsid2888.bed	2	5
gtex_rsid2889.bed	4	13
gtex_rsid2890.bed	2	3
gtex_rsid2891.bed	4	4
gtex_rsid2892.bed	6	8
gtex_rsid2893.bed	4	7
gtex_rsid2894.bed	1	1
gtex_rsid2895.bed	2	7
gtex_rsid2896.bed	6	7
gtex_rsid2897.bed	4	6
gtex_rsid2898.bed	4	12
gtex_rsid2899.bed	5	11
gtex_rsid2900.bed	7	12
gtex_rsid2901.bed	6	14
gtex_rsid2902.bed	7	12
gtex_rsid2903.bed	5	10
gtex_rsid2904.bed	2	25
gtex_rsid2905.bed	5	14
gtex_rsid2906.bed	6	11
gtex_rsid2907.bed	5	8
gtex_rsid2908.bed	6	15
gtex_rsid2909.bed	5	10
gtex_rsid2910.bed	6	14
gtex_rsid2911.bed	4	8
gtex_rsid2912.bed	4	13
gtex_rsid2913.bed	6	9
gtex_rsid2914.bed	2	8
gtex_rsid2915.bed	2	6
gtex_rsid2916.bed	7	9
gtex_rsid2917.bed	5	6
gtex_rsid2918.bed	4	7
gtex_rsid2919.bed	6	9
gtex_rsid2920.bed	4	6
gtex_rsid2921.bed	3	7
gtex_rsid2922.bed	4	7
gtex_rsid2923.bed	4	6
gtex_rsid2924.bed	7	37
gtex_rsid2925.bed	7	13
gtex_rsid2926.bed	4	5
gtex_rsid2927.bed	0	0
gtex_rsid2928.bed	4	12
gtex_rsid2929.bed	11	15
gtex_rsid2930.bed	4	7
gtex_rsid2931.bed	7	13
gtex_rsid2932.bed	6	12
gtex_rsid2933.bed	4	8
gtex_rsid2934.bed	6	10
gtex_rsid2935.bed	2	2
gtex_rsid2936.bed	6	15
gtex_rsid2937.bed	1	1
gtex_rsid2938.bed	2	5
gtex_rsid2939.bed	6	11
gtex_rsid2940.bed	4	5
gtex_rsid2941.bed	1	1
gtex_rsid2942.bed	3	3
gtex_rsid2943.bed	4	6
gtex_rsid2944.bed	0	0
gtex_rsid2945.bed	7	11
gtex_rsid2946.bed	4	4
gtex_rsid2947.bed	2	2
gtex_rsid2948.bed	7	7
gtex_rsid2949.bed	4	8
gtex_rsid2950.bed	5	10
gtex_rsid2951.bed	3	6
gtex_rsid2952.bed	5	7
gtex_rsid2953.bed	6	23
gtex_rsid2954.bed	6	7
gtex_rsid2955.bed	9	18
gtex_rsid2956.bed	3	13
gtex_rsid2957.bed	9	12
gtex_rsid2958.bed	5	12
gtex_rsid2959.bed	4	13
gtex_rsid2960.bed	3	11
gtex_rsid2961.bed	3	6
gtex_rsid2962.bed	3	4
gtex_rsid2963.bed	3	8
gtex_rsid2964.bed	2	2
gtex_rsid2965.bed	5	7
gtex_rsid2966.bed	1	4
gtex_rsid2967.bed	2	3
gtex_rsid2968.bed	3	16
gtex_rsid2969.bed	5	6
gtex_rsid2970.bed	3	5
gtex_rsid2971.bed	5	12
gtex_rsid2972.bed	4	8
gtex_rsid2973.bed	2	4
gtex_rsid2974.bed	3	8
gtex_rsid2975.bed	3	3
gtex_rsid2976.bed	3	13
gtex_rsid2977.bed	3	32
gtex_rsid2978.bed	8	18
gtex_rsid2979.bed	2	2
gtex_rsid2980.bed	3	5
gtex_rsid2981.bed	7	19
gtex_rsid2982.bed	6	15
gtex_rsid2983.bed	1	1
gtex_rsid2984.bed	6	10
gtex_rsid2985.bed	2	4
gtex_rsid2986.bed	2	3
gtex_rsid2987.bed	7	9
gtex_rsid2988.bed	4	6
gtex_rsid2989.bed	2	2
gtex_rsid2990.bed	3	6
gtex_rsid2991.bed	5	7
gtex_rsid2992.bed	3	3
gtex_rsid2993.bed	0	0
gtex_rsid2994.bed	3	3
gtex_rsid2995.bed	3	5
gtex_rsid2996.bed	2	2
gtex_rsid2997.bed	4	7
gtex_rsid2998.bed	1	1
gtex_rsid2999.bed	5	6
gtex_rsid3000.bed	8	8
gtex_rsid3001.bed	2	4
gtex_rsid3002.bed	5	10
gtex_rsid3003.bed	5	15
gtex_rsid3004.bed	3	9
gtex_rsid3005.bed	3	3
gtex_rsid3006.bed	1	1
gtex_rsid3007.bed	4	5
gtex_rsid3008.bed	3	8
gtex_rsid3009.bed	6	11
gtex_rsid3010.bed	6	10
gtex_rsid3011.bed	10	12
gtex_rsid3012.bed	2	8
gtex_rsid3013.bed	7	18
gtex_rsid3014.bed	2	2
gtex_rsid3015.bed	5	7
gtex_rsid3016.bed	7	27
gtex_rsid3017.bed	6	14
gtex_rsid3018.bed	5	10
gtex_rsid3019.bed	7	27
gtex_rsid3020.bed	3	9
gtex_rsid3021.bed	5	7
gtex_rsid3022.bed	8	16
gtex_rsid3023.bed	7	14
gtex_rsid3024.bed	5	9
gtex_rsid3025.bed	4	5
gtex_rsid3026.bed	6	8
gtex_rsid3027.bed	6	9
gtex_rsid3028.bed	3	6
gtex_rsid3029.bed	4	10
gtex_rsid3030.bed	8	9
gtex_rsid3031.bed	2	3
gtex_rsid3032.bed	7	13
gtex_rsid3033.bed	4	5
gtex_rsid3034.bed	2	3
gtex_rsid3035.bed	5	8
gtex_rsid3036.bed	1	1
gtex_rsid3037.bed	3	15
gtex_rsid3038.bed	2	2
gtex_rsid3039.bed	1	9
gtex_rsid3040.bed	5	17
gtex_rsid3041.bed	4	4
gtex_rsid3042.bed	2	3
gtex_rsid3043.bed	5	12
gtex_rsid3044.bed	4	8
gtex_rsid3045.bed	3	5
gtex_rsid3046.bed	4	5
gtex_rsid3047.bed	6	7
gtex_rsid3048.bed	2	3
gtex_rsid3049.bed	6	10
gtex_rsid3050.bed	2	5
gtex_rsid3051.bed	4	5
gtex_rsid3052.bed	4	8
gtex_rsid3053.bed	5	9
gtex_rsid3054.bed	1	1
gtex_rsid3055.bed	4	5
gtex_rsid3056.bed	8	11
gtex_rsid3057.bed	6	9
gtex_rsid3058.bed	6	13
gtex_rsid3059.bed	10	22
gtex_rsid3060.bed	3	6
gtex_rsid3061.bed	10	17
gtex_rsid3062.bed	6	6
gtex_rsid3063.bed	5	18
gtex_rsid3064.bed	4	5
gtex_rsid3065.bed	1	2
gtex_rsid3066.bed	3	5
gtex_rsid3067.bed	6	20
gtex_rsid3068.bed	5	7
gtex_rsid3069.bed	1	2
gtex_rsid3070.bed	2	4
gtex_rsid3071.bed	4	5
gtex_rsid3072.bed	1	2
gtex_rsid3073.bed	0	0
gtex_rsid3074.bed	3	4
gtex_rsid3075.bed	6	8
gtex_rsid3076.bed	7	21
gtex_rsid3077.bed	5	12
gtex_rsid3078.bed	3	4
gtex_rsid3079.bed	6	7
gtex_rsid3080.bed	9	15
gtex_rsid3081.bed	4	4
gtex_rsid3082.bed	4	14
gtex_rsid3083.bed	4	4
gtex_rsid3084.bed	5	8
gtex_rsid3085.bed	6	18
gtex_rsid3086.bed	3	7
gtex_rsid3087.bed	7	14
gtex_rsid3088.bed	2	3
gtex_rsid3089.bed	10	20
gtex_rsid3090.bed	2	6
gtex_rsid3091.bed	5	5
gtex_rsid3092.bed	3	8
gtex_rsid3093.bed	4	8
gtex_rsid3094.bed	9	17
gtex_rsid3095.bed	5	10
gtex_rsid3096.bed	5	11
gtex_rsid3097.bed	2	3
gtex_rsid3098.bed	7	15
gtex_rsid3099.bed	10	18
gtex_rsid3100.bed	6	6
gtex_rsid3101.bed	5	11
gtex_rsid3102.bed	8	13
gtex_rsid3103.bed	3	5
gtex_rsid3104.bed	6	19
gtex_rsid3105.bed	5	5
gtex_rsid3106.bed	3	33
gtex_rsid3107.bed	4	4
gtex_rsid3108.bed	6	14
gtex_rsid3109.bed	0	0
gtex_rsid3110.bed	6	8
gtex_rsid3111.bed	3	7
gtex_rsid3112.bed	7	12
gtex_rsid3113.bed	5	10
gtex_rsid3114.bed	6	11
gtex_rsid3115.bed	7	15
gtex_rsid3116.bed	4	9
gtex_rsid3117.bed	1	1
gtex_rsid3118.bed	3	4
gtex_rsid3119.bed	9	20
gtex_rsid3120.bed	5	11
gtex_rsid3121.bed	2	2
gtex_rsid3122.bed	6	15
gtex_rsid3123.bed	5	9
gtex_rsid3124.bed	8	17
gtex_rsid3125.bed	4	6
gtex_rsid3126.bed	4	18
gtex_rsid3127.bed	9	16
gtex_rsid3128.bed	6	7
gtex_rsid3129.bed	4	8
gtex_rsid3130.bed	3	12
gtex_rsid3131.bed	3	10
gtex_rsid3132.bed	3	5
gtex_rsid3133.bed	6	13
gtex_rsid3134.bed	7	11
gtex_rsid3135.bed	2	2
gtex_rsid3136.bed	5	9
gtex_rsid3137.bed	5	6
gtex_rsid3138.bed	2	4
gtex_rsid3139.bed	5	20
gtex_rsid3140.bed	2	4
gtex_rsid3141.bed	12	17
gtex_rsid3142.bed	5	6
gtex_rsid3143.bed	8	8
gtex_rsid3144.bed	3	6
gtex_rsid3145.bed	5	15
gtex_rsid3146.bed	7	15
gtex_rsid3147.bed	7	7
gtex_rsid3148.bed	4	6
gtex_rsid3149.bed	4	7
gtex_rsid3150.bed	5	7
gtex_rsid3151.bed	3	4
gtex_rsid3152.bed	6	20
gtex_rsid3153.bed	2	7
gtex_rsid3154.bed	6	9
gtex_rsid3155.bed	3	4
gtex_rsid3156.bed	2	2
gtex_rsid3157.bed	7	28
gtex_rsid3158.bed	2	4
gtex_rsid3159.bed	6	8
gtex_rsid3160.bed	4	5
gtex_rsid3161.bed	6	14
gtex_rsid3162.bed	7	13
gtex_rsid3163.bed	3	4
gtex_rsid3164.bed	7	17
gtex_rsid3165.bed	8	18
gtex_rsid3166.bed	10	28
gtex_rsid3167.bed	3	8
gtex_rsid3168.bed	2	3
gtex_rsid3169.bed	3	6
gtex_rsid3170.bed	3	11
gtex_rsid3171.bed	3	11
gtex_rsid3172.bed	2	4
gtex_rsid3173.bed	7	15
gtex_rsid3174.bed	3	3
gtex_rsid3175.bed	4	4
gtex_rsid3176.bed	1	5
gtex_rsid3177.bed	2	3
gtex_rsid3178.bed	1	3
gtex_rsid3179.bed	5	9
gtex_rsid3180.bed	7	13
gtex_rsid3181.bed	7	18
gtex_rsid3182.bed	8	22
gtex_rsid3183.bed	5	9
gtex_rsid3184.bed	1	1
gtex_rsid3185.bed	5	10
gtex_rsid3186.bed	9	12
gtex_rsid3187.bed	5	10
gtex_rsid3188.bed	7	12
gtex_rsid3189.bed	3	9
gtex_rsid3190.bed	1	3
gtex_rsid3191.bed	6	7
gtex_rsid3192.bed	2	2
gtex_rsid3193.bed	6	7
gtex_rsid3194.bed	4	4
gtex_rsid3195.bed	3	6
gtex_rsid3196.bed	4	13
gtex_rsid3197.bed	4	14
gtex_rsid3198.bed	7	11
gtex_rsid3199.bed	4	5
gtex_rsid3200.bed	8	14
gtex_rsid3201.bed	3	3
gtex_rsid3202.bed	3	4
gtex_rsid3203.bed	5	10
gtex_rsid3204.bed	4	6
gtex_rsid3205.bed	5	5
gtex_rsid3206.bed	10	19
gtex_rsid3207.bed	1	1
gtex_rsid3208.bed	5	17
gtex_rsid3209.bed	5	5
gtex_rsid3210.bed	3	3
gtex_rsid3211.bed	7	13
gtex_rsid3212.bed	6	8
gtex_rsid3213.bed	4	5
gtex_rsid3214.bed	6	8
gtex_rsid3215.bed	8	16
gtex_rsid3216.bed	5	15
gtex_rsid3217.bed	4	4
gtex_rsid3218.bed	4	7
gtex_rsid3219.bed	4	10
gtex_rsid3220.bed	8	17
gtex_rsid3221.bed	4	9
gtex_rsid3222.bed	4	4
gtex_rsid3223.bed	6	12
gtex_rsid3224.bed	3	3
gtex_rsid3225.bed	5	7
gtex_rsid3226.bed	8	16
gtex_rsid3227.bed	3	6
gtex_rsid3228.bed	11	20
gtex_rsid3229.bed	7	10
gtex_rsid3230.bed	6	29
gtex_rsid3231.bed	2	3
gtex_rsid3232.bed	4	4
gtex_rsid3233.bed	7	24
gtex_rsid3234.bed	1	1
gtex_rsid3235.bed	2	8
gtex_rsid3236.bed	4	9
gtex_rsid3237.bed	6	12
gtex_rsid3238.bed	5	11
gtex_rsid3239.bed	4	30
gtex_rsid3240.bed	3	4
gtex_rsid3241.bed	11	23
gtex_rsid3242.bed	3	5
gtex_rsid3243.bed	3	10
gtex_rsid3244.bed	4	8
gtex_rsid3245.bed	3	3
gtex_rsid3246.bed	4	13
gtex_rsid3247.bed	3	5
gtex_rsid3248.bed	2	2
gtex_rsid3249.bed	3	3
gtex_rsid3250.bed	4	7
gtex_rsid3251.bed	3	5
gtex_rsid3252.bed	6	27
gtex_rsid3253.bed	7	16
gtex_rsid3254.bed	3	5
gtex_rsid3255.bed	4	8
gtex_rsid3256.bed	4	4
gtex_rsid3257.bed	5	8
gtex_rsid3258.bed	10	29
gtex_rsid3259.bed	1	4
gtex_rsid3260.bed	6	9
gtex_rsid3261.bed	4	5
gtex_rsid3262.bed	4	4
gtex_rsid3263.bed	5	17
gtex_rsid3264.bed	4	4
gtex_rsid3265.bed	6	13
gtex_rsid3266.bed	6	13
gtex_rsid3267.bed	6	9
gtex_rsid3268.bed	2	2
gtex_rsid3269.bed	7	39
gtex_rsid3270.bed	2	2
gtex_rsid3271.bed	8	18
gtex_rsid3272.bed	5	16
gtex_rsid3273.bed	6	6
gtex_rsid3274.bed	6	8
gtex_rsid3275.bed	8	23
gtex_rsid3276.bed	7	14
gtex_rsid3277.bed	4	35
gtex_rsid3278.bed	5	13
gtex_rsid3279.bed	5	10
gtex_rsid3280.bed	5	8
gtex_rsid3281.bed	5	8
gtex_rsid3282.bed	10	23
gtex_rsid3283.bed	2	8
gtex_rsid3284.bed	3	8
gtex_rsid3285.bed	3	9
gtex_rsid3286.bed	6	14
gtex_rsid3287.bed	3	6
gtex_rsid3288.bed	6	12
gtex_rsid3289.bed	5	11
gtex_rsid3290.bed	5	12
gtex_rsid3291.bed	6	12
gtex_rsid3292.bed	7	15
gtex_rsid3293.bed	5	10
gtex_rsid3294.bed	1	1
gtex_rsid3295.bed	6	8
gtex_rsid3296.bed	3	5
gtex_rsid3297.bed	1	4
gtex_rsid3298.bed	4	10
gtex_rsid3299.bed	6	13
gtex_rsid3300.bed	2	2
gtex_rsid3301.bed	6	10
gtex_rsid3302.bed	8	19
gtex_rsid3303.bed	1	4
gtex_rsid3304.bed	5	16
gtex_rsid3305.bed	4	5
gtex_rsid3306.bed	4	12
gtex_rsid3307.bed	5	10
gtex_rsid3308.bed	3	19
gtex_rsid3309.bed	5	9
gtex_rsid3310.bed	8	12
gtex_rsid3311.bed	2	5
gtex_rsid3312.bed	2	3
gtex_rsid3313.bed	3	3
gtex_rsid3314.bed	5	6
gtex_rsid3315.bed	5	8
gtex_rsid3316.bed	3	5
gtex_rsid3317.bed	6	13
gtex_rsid3318.bed	5	37
gtex_rsid3319.bed	2	2
gtex_rsid3320.bed	2	4
gtex_rsid3321.bed	4	5
gtex_rsid3322.bed	7	17
gtex_rsid3323.bed	5	9
gtex_rsid3324.bed	1	3
gtex_rsid3325.bed	7	9
gtex_rsid3326.bed	5	13
gtex_rsid3327.bed	7	18
gtex_rsid3328.bed	4	8
gtex_rsid3329.bed	4	4
gtex_rsid3330.bed	2	3
gtex_rsid3331.bed	1	1
gtex_rsid3332.bed	3	5
gtex_rsid3333.bed	6	34
gtex_rsid3334.bed	8	13
gtex_rsid3335.bed	2	3
gtex_rsid3336.bed	7	8
gtex_rsid3337.bed	6	9
gtex_rsid3338.bed	4	7
gtex_rsid3339.bed	9	14
gtex_rsid3340.bed	3	5
gtex_rsid3341.bed	6	8
gtex_rsid3342.bed	3	5
gtex_rsid3343.bed	7	20
gtex_rsid3344.bed	2	2
gtex_rsid3345.bed	6	7
gtex_rsid3346.bed	5	5
gtex_rsid3347.bed	6	10
gtex_rsid3348.bed	7	10
gtex_rsid3349.bed	5	7
gtex_rsid3350.bed	3	3
gtex_rsid3351.bed	2	4
gtex_rsid3352.bed	3	3
gtex_rsid3353.bed	3	7
gtex_rsid3354.bed	4	7
gtex_rsid3355.bed	4	8
gtex_rsid3356.bed	4	8
gtex_rsid3357.bed	5	5
gtex_rsid3358.bed	4	4
gtex_rsid3359.bed	7	11
gtex_rsid3360.bed	5	11
gtex_rsid3361.bed	1	1
gtex_rsid3362.bed	4	7
gtex_rsid3363.bed	5	10
gtex_rsid3364.bed	4	4
gtex_rsid3365.bed	3	4
gtex_rsid3366.bed	1	3
gtex_rsid3367.bed	5	8
gtex_rsid3368.bed	3	8
gtex_rsid3369.bed	9	17
gtex_rsid3370.bed	4	7
gtex_rsid3371.bed	3	4
gtex_rsid3372.bed	10	18
gtex_rsid3373.bed	2	4
gtex_rsid3374.bed	2	3
gtex_rsid3375.bed	3	3
gtex_rsid3376.bed	5	6
gtex_rsid3377.bed	5	12
gtex_rsid3378.bed	1	1
gtex_rsid3379.bed	3	6
gtex_rsid3380.bed	6	15
gtex_rsid3381.bed	4	8
gtex_rsid3382.bed	3	4
gtex_rsid3383.bed	3	5
gtex_rsid3384.bed	7	8
gtex_rsid3385.bed	2	10
gtex_rsid3386.bed	3	6
gtex_rsid3387.bed	2	4
gtex_rsid3388.bed	4	5
gtex_rsid3389.bed	3	3
gtex_rsid3390.bed	5	11
gtex_rsid3391.bed	1	1
gtex_rsid3392.bed	12	38
gtex_rsid3393.bed	9	22
gtex_rsid3394.bed	1	3
gtex_rsid3395.bed	7	10
gtex_rsid3396.bed	7	14
gtex_rsid3397.bed	11	15
gtex_rsid3398.bed	4	7
gtex_rsid3399.bed	6	6
gtex_rsid3400.bed	5	7
gtex_rsid3401.bed	4	5
gtex_rsid3402.bed	5	9
gtex_rsid3403.bed	7	11
gtex_rsid3404.bed	3	6
gtex_rsid3405.bed	2	2
gtex_rsid3406.bed	6	19
gtex_rsid3407.bed	4	19
gtex_rsid3408.bed	8	14
gtex_rsid3409.bed	8	18
gtex_rsid3410.bed	8	10
gtex_rsid3411.bed	1	1
gtex_rsid3412.bed	3	9
gtex_rsid3413.bed	3	5
gtex_rsid3414.bed	6	14
gtex_rsid3415.bed	3	3
gtex_rsid3416.bed	2	8
gtex_rsid3417.bed	5	11
gtex_rsid3418.bed	2	2
gtex_rsid3419.bed	9	16
gtex_rsid3420.bed	4	9
gtex_rsid3421.bed	5	12
gtex_rsid3422.bed	2	4
gtex_rsid3423.bed	2	2
gtex_rsid3424.bed	8	15
gtex_rsid3425.bed	2	6
gtex_rsid3426.bed	5	8
gtex_rsid3427.bed	5	17
gtex_rsid3428.bed	7	9
gtex_rsid3429.bed	3	3
gtex_rsid3430.bed	4	8
gtex_rsid3431.bed	8	26
gtex_rsid3432.bed	6	8
gtex_rsid3433.bed	9	17
gtex_rsid3434.bed	12	16
gtex_rsid3435.bed	7	10
gtex_rsid3436.bed	4	9
gtex_rsid3437.bed	5	6
gtex_rsid3438.bed	4	7
gtex_rsid3439.bed	3	4
gtex_rsid3440.bed	3	4
gtex_rsid3441.bed	5	20
gtex_rsid3442.bed	5	9
gtex_rsid3443.bed	2	4
gtex_rsid3444.bed	4	14
gtex_rsid3445.bed	7	13
gtex_rsid3446.bed	5	6
gtex_rsid3447.bed	2	2
