random	SNP_n	Gene_n
gtex_rsid200.bed	6	13
gtex_rsid201.bed	3	7
gtex_rsid202.bed	1	1
gtex_rsid203.bed	6	8
gtex_rsid204.bed	8	12
gtex_rsid205.bed	6	15
gtex_rsid206.bed	4	5
gtex_rsid207.bed	7	14
gtex_rsid208.bed	3	3
gtex_rsid209.bed	2	6
gtex_rsid210.bed	5	6
gtex_rsid211.bed	2	2
gtex_rsid212.bed	3	6
gtex_rsid213.bed	5	10
gtex_rsid214.bed	3	4
gtex_rsid215.bed	6	14
gtex_rsid216.bed	1	1
gtex_rsid217.bed	6	12
gtex_rsid218.bed	1	3
gtex_rsid219.bed	4	8
gtex_rsid220.bed	6	17
gtex_rsid221.bed	3	4
gtex_rsid222.bed	12	13
gtex_rsid223.bed	6	11
gtex_rsid224.bed	8	11
gtex_rsid225.bed	0	0
gtex_rsid226.bed	4	4
gtex_rsid227.bed	3	8
gtex_rsid228.bed	3	6
gtex_rsid229.bed	3	7
gtex_rsid230.bed	3	3
gtex_rsid231.bed	3	3
gtex_rsid232.bed	5	8
gtex_rsid233.bed	6	20
gtex_rsid234.bed	4	9
gtex_rsid235.bed	6	7
gtex_rsid236.bed	0	0
gtex_rsid237.bed	6	14
gtex_rsid238.bed	7	10
gtex_rsid239.bed	6	7
gtex_rsid240.bed	2	2
gtex_rsid241.bed	1	1
gtex_rsid242.bed	5	8
gtex_rsid243.bed	2	2
gtex_rsid244.bed	6	9
gtex_rsid245.bed	5	18
gtex_rsid246.bed	3	4
gtex_rsid247.bed	6	16
gtex_rsid248.bed	3	4
gtex_rsid249.bed	3	6
gtex_rsid250.bed	6	10
gtex_rsid251.bed	7	13
gtex_rsid252.bed	2	2
gtex_rsid253.bed	5	18
gtex_rsid254.bed	3	6
gtex_rsid255.bed	6	10
gtex_rsid256.bed	7	10
gtex_rsid257.bed	10	24
gtex_rsid258.bed	4	14
gtex_rsid259.bed	5	11
gtex_rsid260.bed	7	17
gtex_rsid261.bed	2	2
gtex_rsid262.bed	2	3
gtex_rsid263.bed	2	4
gtex_rsid264.bed	7	21
gtex_rsid265.bed	5	11
gtex_rsid266.bed	4	5
gtex_rsid267.bed	5	8
gtex_rsid268.bed	3	6
gtex_rsid269.bed	8	20
gtex_rsid270.bed	1	5
gtex_rsid271.bed	4	4
gtex_rsid272.bed	6	23
gtex_rsid273.bed	2	4
gtex_rsid274.bed	10	17
gtex_rsid275.bed	4	13
gtex_rsid276.bed	7	23
gtex_rsid277.bed	5	10
gtex_rsid278.bed	6	13
gtex_rsid279.bed	1	1
gtex_rsid280.bed	2	2
gtex_rsid281.bed	5	12
gtex_rsid282.bed	4	6
gtex_rsid283.bed	5	10
gtex_rsid284.bed	5	20
gtex_rsid285.bed	9	13
gtex_rsid286.bed	3	4
gtex_rsid287.bed	5	8
gtex_rsid288.bed	2	4
gtex_rsid289.bed	5	8
gtex_rsid290.bed	12	36
gtex_rsid291.bed	7	11
gtex_rsid292.bed	5	16
gtex_rsid293.bed	9	16
gtex_rsid294.bed	2	2
gtex_rsid295.bed	5	5
gtex_rsid296.bed	5	5
gtex_rsid297.bed	1	8
gtex_rsid298.bed	5	9
gtex_rsid299.bed	3	3
gtex_rsid300.bed	5	9
gtex_rsid301.bed	6	7
gtex_rsid302.bed	3	4
gtex_rsid303.bed	5	14
gtex_rsid304.bed	5	12
gtex_rsid305.bed	2	5
gtex_rsid306.bed	5	6
gtex_rsid307.bed	3	5
gtex_rsid308.bed	5	17
gtex_rsid309.bed	3	7
gtex_rsid310.bed	8	19
gtex_rsid311.bed	2	4
gtex_rsid312.bed	6	9
gtex_rsid313.bed	4	8
gtex_rsid314.bed	5	9
gtex_rsid315.bed	5	10
gtex_rsid316.bed	7	15
gtex_rsid317.bed	5	8
gtex_rsid318.bed	5	10
gtex_rsid319.bed	5	7
gtex_rsid320.bed	4	7
gtex_rsid321.bed	3	7
gtex_rsid322.bed	2	2
gtex_rsid323.bed	4	4
gtex_rsid324.bed	5	9
gtex_rsid325.bed	6	9
gtex_rsid326.bed	5	10
gtex_rsid327.bed	3	5
gtex_rsid328.bed	3	4
gtex_rsid329.bed	3	8
gtex_rsid330.bed	6	11
gtex_rsid331.bed	4	7
gtex_rsid332.bed	5	7
gtex_rsid333.bed	1	1
gtex_rsid334.bed	3	5
gtex_rsid335.bed	5	9
gtex_rsid336.bed	2	2
gtex_rsid337.bed	3	3
gtex_rsid338.bed	6	13
gtex_rsid339.bed	3	6
gtex_rsid340.bed	4	9
gtex_rsid341.bed	5	6
gtex_rsid342.bed	5	5
gtex_rsid343.bed	5	6
gtex_rsid344.bed	7	20
gtex_rsid345.bed	4	6
gtex_rsid346.bed	2	5
gtex_rsid347.bed	5	8
gtex_rsid348.bed	9	16
gtex_rsid349.bed	6	12
gtex_rsid350.bed	8	10
gtex_rsid351.bed	1	1
