random	SNP_n	Enh_n
encode_rsid2446.tsv	228	228
encode_rsid2447.tsv	245	245
encode_rsid2448.tsv	260	260
encode_rsid2449.tsv	248	248
encode_rsid2450.tsv	249	249
encode_rsid2451.tsv	256	255
encode_rsid2452.tsv	252	252
encode_rsid2453.tsv	247	246
encode_rsid2454.tsv	239	239
encode_rsid2455.tsv	247	247
encode_rsid2456.tsv	229	229
encode_rsid2457.tsv	247	247
encode_rsid2458.tsv	263	263
encode_rsid2459.tsv	269	268
encode_rsid2460.tsv	247	247
encode_rsid2461.tsv	255	255
encode_rsid2462.tsv	261	261
encode_rsid2463.tsv	255	255
encode_rsid2464.tsv	258	257
encode_rsid2465.tsv	258	258
encode_rsid2466.tsv	241	241
encode_rsid2467.tsv	254	254
encode_rsid2468.tsv	249	249
encode_rsid2469.tsv	244	244
encode_rsid2470.tsv	243	243
encode_rsid2471.tsv	259	259
encode_rsid2472.tsv	253	253
encode_rsid2473.tsv	237	237
encode_rsid2474.tsv	241	241
encode_rsid2475.tsv	261	261
encode_rsid2476.tsv	261	261
encode_rsid2477.tsv	241	240
encode_rsid2478.tsv	239	239
encode_rsid2479.tsv	273	273
encode_rsid2480.tsv	246	246
encode_rsid2481.tsv	275	275
encode_rsid2482.tsv	243	242
encode_rsid2483.tsv	221	221
encode_rsid2484.tsv	256	256
encode_rsid2485.tsv	225	225
encode_rsid2486.tsv	257	257
encode_rsid2487.tsv	235	235
encode_rsid2488.tsv	278	278
encode_rsid2489.tsv	257	257
encode_rsid2490.tsv	231	230
encode_rsid2491.tsv	228	228
encode_rsid2492.tsv	274	274
encode_rsid2493.tsv	246	246
encode_rsid2494.tsv	244	244
encode_rsid2495.tsv	247	247
encode_rsid2496.tsv	243	243
encode_rsid2497.tsv	238	238
encode_rsid2498.tsv	265	264
encode_rsid2499.tsv	221	221
encode_rsid2500.tsv	276	275
encode_rsid2501.tsv	239	238
encode_rsid2502.tsv	239	239
encode_rsid2503.tsv	250	250
encode_rsid2504.tsv	237	237
encode_rsid2505.tsv	221	221
encode_rsid2506.tsv	242	242
encode_rsid2507.tsv	254	254
encode_rsid2508.tsv	252	252
encode_rsid2509.tsv	244	243
encode_rsid2510.tsv	244	243
encode_rsid2511.tsv	250	250
encode_rsid2512.tsv	277	277
encode_rsid2513.tsv	242	242
encode_rsid2514.tsv	225	225
encode_rsid2515.tsv	253	252
encode_rsid2516.tsv	254	253
encode_rsid2517.tsv	252	252
encode_rsid2518.tsv	259	259
encode_rsid2519.tsv	219	219
encode_rsid2520.tsv	271	271
encode_rsid2521.tsv	255	255
encode_rsid2522.tsv	238	238
encode_rsid2523.tsv	253	253
encode_rsid2524.tsv	229	229
encode_rsid2525.tsv	242	242
encode_rsid2526.tsv	242	242
encode_rsid2527.tsv	277	277
encode_rsid2528.tsv	229	229
encode_rsid2529.tsv	255	255
encode_rsid2530.tsv	257	257
encode_rsid2531.tsv	252	252
encode_rsid2532.tsv	241	241
encode_rsid2533.tsv	266	266
encode_rsid2534.tsv	256	256
encode_rsid2535.tsv	238	238
encode_rsid2536.tsv	267	267
encode_rsid2537.tsv	236	234
encode_rsid2538.tsv	247	247
encode_rsid2539.tsv	262	262
encode_rsid2540.tsv	241	241
encode_rsid2541.tsv	260	260
encode_rsid2542.tsv	257	257
encode_rsid2543.tsv	289	289
encode_rsid2544.tsv	260	259
encode_rsid2545.tsv	229	229
encode_rsid2546.tsv	244	244
encode_rsid2547.tsv	237	237
encode_rsid2548.tsv	264	264
encode_rsid2549.tsv	265	264
encode_rsid2550.tsv	248	248
encode_rsid2551.tsv	237	237
encode_rsid2552.tsv	238	238
encode_rsid2553.tsv	237	237
encode_rsid2554.tsv	263	262
encode_rsid2555.tsv	241	241
encode_rsid2556.tsv	247	247
encode_rsid2557.tsv	222	222
encode_rsid2558.tsv	248	248
encode_rsid2559.tsv	231	230
encode_rsid2560.tsv	279	279
encode_rsid2561.tsv	273	273
encode_rsid2562.tsv	268	268
encode_rsid2563.tsv	260	260
encode_rsid2564.tsv	240	240
encode_rsid2565.tsv	242	242
encode_rsid2566.tsv	226	226
encode_rsid2567.tsv	260	260
encode_rsid2568.tsv	236	236
encode_rsid2569.tsv	248	247
encode_rsid2570.tsv	224	224
encode_rsid2571.tsv	235	235
encode_rsid2572.tsv	239	239
encode_rsid2573.tsv	235	235
encode_rsid2574.tsv	245	245
encode_rsid2575.tsv	240	240
encode_rsid2576.tsv	224	224
encode_rsid2577.tsv	251	251
encode_rsid2578.tsv	257	257
encode_rsid2579.tsv	261	261
encode_rsid2580.tsv	259	259
encode_rsid2581.tsv	252	252
encode_rsid2582.tsv	248	248
encode_rsid2583.tsv	254	254
encode_rsid2584.tsv	229	229
encode_rsid2585.tsv	245	245
encode_rsid2586.tsv	251	251
encode_rsid2587.tsv	277	277
encode_rsid2588.tsv	243	243
encode_rsid2589.tsv	247	247
encode_rsid2590.tsv	260	259
encode_rsid2591.tsv	240	239
encode_rsid2592.tsv	248	248
encode_rsid2593.tsv	267	267
encode_rsid2594.tsv	233	233
encode_rsid2595.tsv	254	254
encode_rsid2596.tsv	237	237
encode_rsid2597.tsv	236	236
encode_rsid2598.tsv	247	247
encode_rsid2599.tsv	263	263
encode_rsid2600.tsv	253	253
encode_rsid2601.tsv	260	260
encode_rsid2602.tsv	256	256
encode_rsid2603.tsv	250	250
encode_rsid2604.tsv	257	257
encode_rsid2605.tsv	258	258
encode_rsid2606.tsv	233	233
encode_rsid2607.tsv	242	242
encode_rsid2608.tsv	271	271
encode_rsid2609.tsv	240	240
encode_rsid2610.tsv	248	248
encode_rsid2611.tsv	251	251
encode_rsid2612.tsv	255	255
encode_rsid2613.tsv	244	244
encode_rsid2614.tsv	237	237
encode_rsid2615.tsv	243	243
encode_rsid2616.tsv	241	241
encode_rsid2617.tsv	233	233
encode_rsid2618.tsv	277	277
encode_rsid2619.tsv	231	231
encode_rsid2620.tsv	255	255
encode_rsid2621.tsv	276	276
encode_rsid2622.tsv	255	255
encode_rsid2623.tsv	256	256
encode_rsid2624.tsv	255	255
encode_rsid2625.tsv	239	238
encode_rsid2626.tsv	240	240
encode_rsid2627.tsv	250	250
encode_rsid2628.tsv	280	280
encode_rsid2629.tsv	255	253
encode_rsid2630.tsv	265	265
encode_rsid2631.tsv	261	261
encode_rsid2632.tsv	258	258
encode_rsid2633.tsv	237	237
encode_rsid2634.tsv	252	252
encode_rsid2635.tsv	252	252
encode_rsid2636.tsv	231	231
encode_rsid2637.tsv	237	237
encode_rsid2638.tsv	254	254
encode_rsid2639.tsv	242	242
encode_rsid2640.tsv	240	240
encode_rsid2641.tsv	247	247
encode_rsid2642.tsv	234	234
encode_rsid2643.tsv	245	245
encode_rsid2644.tsv	250	250
encode_rsid2645.tsv	246	246
encode_rsid2646.tsv	239	239
encode_rsid2647.tsv	255	255
encode_rsid2648.tsv	279	280
encode_rsid2649.tsv	262	262
encode_rsid2650.tsv	250	250
encode_rsid2651.tsv	254	254
encode_rsid2652.tsv	241	241
encode_rsid2653.tsv	250	250
encode_rsid2654.tsv	287	287
encode_rsid2655.tsv	249	249
encode_rsid2656.tsv	276	276
encode_rsid2657.tsv	294	294
encode_rsid2658.tsv	258	258
encode_rsid2659.tsv	243	243
encode_rsid2660.tsv	264	264
encode_rsid2661.tsv	285	285
encode_rsid2662.tsv	257	257
encode_rsid2663.tsv	256	256
encode_rsid2664.tsv	258	257
encode_rsid2665.tsv	250	250
encode_rsid2666.tsv	252	252
encode_rsid2667.tsv	273	273
encode_rsid2668.tsv	256	256
encode_rsid2669.tsv	250	250
encode_rsid2670.tsv	247	247
encode_rsid2671.tsv	249	249
encode_rsid2672.tsv	259	259
encode_rsid2673.tsv	255	255
encode_rsid2674.tsv	232	232
encode_rsid2675.tsv	235	235
encode_rsid2676.tsv	245	245
encode_rsid2677.tsv	251	250
encode_rsid2678.tsv	262	262
encode_rsid2679.tsv	258	258
encode_rsid2680.tsv	250	250
encode_rsid2681.tsv	234	234
encode_rsid2682.tsv	244	244
encode_rsid2683.tsv	255	255
encode_rsid2684.tsv	274	274
encode_rsid2685.tsv	282	281
encode_rsid2686.tsv	260	260
encode_rsid2687.tsv	265	265
encode_rsid2688.tsv	256	256
encode_rsid2689.tsv	281	281
encode_rsid2690.tsv	236	236
encode_rsid2691.tsv	250	250
encode_rsid2692.tsv	250	250
encode_rsid2693.tsv	260	260
encode_rsid2694.tsv	242	242
encode_rsid2695.tsv	278	278
encode_rsid2696.tsv	236	236
encode_rsid2697.tsv	250	249
encode_rsid2698.tsv	243	243
encode_rsid2699.tsv	248	248
encode_rsid2700.tsv	254	254
encode_rsid2701.tsv	224	224
encode_rsid2702.tsv	249	249
encode_rsid2703.tsv	246	246
encode_rsid2704.tsv	251	251
encode_rsid2705.tsv	269	269
encode_rsid2706.tsv	241	241
encode_rsid2707.tsv	244	244
encode_rsid2708.tsv	220	220
encode_rsid2709.tsv	262	262
encode_rsid2710.tsv	247	247
encode_rsid2711.tsv	258	258
encode_rsid2712.tsv	255	255
encode_rsid2713.tsv	226	226
encode_rsid2714.tsv	245	245
encode_rsid2715.tsv	229	229
encode_rsid2716.tsv	251	251
encode_rsid2717.tsv	253	253
encode_rsid2718.tsv	246	246
encode_rsid2719.tsv	267	267
encode_rsid2720.tsv	238	238
encode_rsid2721.tsv	230	230
encode_rsid2722.tsv	256	256
encode_rsid2723.tsv	223	223
encode_rsid2724.tsv	226	226
encode_rsid2725.tsv	248	248
encode_rsid2726.tsv	245	243
encode_rsid2727.tsv	232	232
encode_rsid2728.tsv	245	245
encode_rsid2729.tsv	247	247
encode_rsid2730.tsv	250	250
encode_rsid2731.tsv	255	254
encode_rsid2732.tsv	245	245
encode_rsid2733.tsv	266	266
encode_rsid2734.tsv	280	280
encode_rsid2735.tsv	224	224
encode_rsid2736.tsv	262	262
encode_rsid2737.tsv	269	268
encode_rsid2738.tsv	249	249
encode_rsid2739.tsv	228	228
encode_rsid2740.tsv	248	248
encode_rsid2741.tsv	250	250
encode_rsid2742.tsv	251	250
encode_rsid2743.tsv	244	244
encode_rsid2744.tsv	249	249
encode_rsid2745.tsv	266	266
encode_rsid2746.tsv	258	258
encode_rsid2747.tsv	243	242
encode_rsid2748.tsv	234	233
encode_rsid2749.tsv	256	256
encode_rsid2750.tsv	258	258
encode_rsid2751.tsv	275	275
encode_rsid2752.tsv	208	208
encode_rsid2753.tsv	240	240
encode_rsid2754.tsv	251	251
encode_rsid2755.tsv	284	284
encode_rsid2756.tsv	289	289
encode_rsid2757.tsv	252	252
encode_rsid2758.tsv	227	227
encode_rsid2759.tsv	266	266
encode_rsid2760.tsv	243	243
encode_rsid2761.tsv	256	256
encode_rsid2762.tsv	262	261
encode_rsid2763.tsv	253	253
encode_rsid2764.tsv	239	239
encode_rsid2765.tsv	251	251
encode_rsid2766.tsv	258	258
encode_rsid2767.tsv	220	220
encode_rsid2768.tsv	233	233
encode_rsid2769.tsv	237	237
encode_rsid2770.tsv	253	253
encode_rsid2771.tsv	249	249
encode_rsid2772.tsv	243	243
encode_rsid2773.tsv	240	240
encode_rsid2774.tsv	263	263
encode_rsid2775.tsv	237	237
encode_rsid2776.tsv	271	270
encode_rsid2777.tsv	264	264
encode_rsid2778.tsv	251	251
encode_rsid2779.tsv	252	252
encode_rsid2780.tsv	258	258
encode_rsid2781.tsv	265	265
encode_rsid2782.tsv	238	238
encode_rsid2783.tsv	236	236
encode_rsid2784.tsv	237	237
encode_rsid2785.tsv	239	239
encode_rsid2786.tsv	268	268
encode_rsid2787.tsv	239	239
encode_rsid2788.tsv	241	241
encode_rsid2789.tsv	234	234
encode_rsid2790.tsv	240	240
encode_rsid2791.tsv	251	251
encode_rsid2792.tsv	251	250
encode_rsid2793.tsv	227	227
encode_rsid2794.tsv	227	226
encode_rsid2795.tsv	241	241
encode_rsid2796.tsv	265	265
encode_rsid2797.tsv	246	246
encode_rsid2798.tsv	243	243
encode_rsid2799.tsv	240	240
encode_rsid2800.tsv	229	229
encode_rsid2801.tsv	251	251
encode_rsid2802.tsv	257	256
encode_rsid2803.tsv	231	231
encode_rsid2804.tsv	267	267
encode_rsid2805.tsv	247	247
encode_rsid2806.tsv	234	234
encode_rsid2807.tsv	250	250
encode_rsid2808.tsv	260	260
encode_rsid2809.tsv	241	241
encode_rsid2810.tsv	247	246
encode_rsid2811.tsv	252	252
encode_rsid2812.tsv	241	241
encode_rsid2813.tsv	263	263
encode_rsid2814.tsv	237	237
encode_rsid2815.tsv	244	244
encode_rsid2816.tsv	220	220
encode_rsid2817.tsv	257	257
encode_rsid2818.tsv	242	242
encode_rsid2819.tsv	254	254
encode_rsid2820.tsv	232	231
encode_rsid2821.tsv	236	236
encode_rsid2822.tsv	264	264
encode_rsid2823.tsv	252	252
encode_rsid2824.tsv	229	229
encode_rsid2825.tsv	288	288
encode_rsid2826.tsv	260	260
encode_rsid2827.tsv	267	267
encode_rsid2828.tsv	237	237
encode_rsid2829.tsv	268	268
encode_rsid2830.tsv	237	237
encode_rsid2831.tsv	259	259
encode_rsid2832.tsv	256	256
encode_rsid2833.tsv	259	259
encode_rsid2834.tsv	248	248
encode_rsid2835.tsv	272	272
encode_rsid2836.tsv	258	258
encode_rsid2837.tsv	247	247
encode_rsid2838.tsv	247	247
encode_rsid2839.tsv	256	256
encode_rsid2840.tsv	239	239
encode_rsid2841.tsv	245	245
encode_rsid2842.tsv	248	248
encode_rsid2843.tsv	233	233
encode_rsid2844.tsv	260	259
encode_rsid2845.tsv	232	232
encode_rsid2846.tsv	232	232
encode_rsid2847.tsv	263	263
encode_rsid2848.tsv	241	241
encode_rsid2849.tsv	252	252
encode_rsid2850.tsv	244	244
encode_rsid2851.tsv	218	218
encode_rsid2852.tsv	246	246
encode_rsid2853.tsv	237	237
encode_rsid2854.tsv	226	226
encode_rsid2855.tsv	227	227
encode_rsid2856.tsv	295	295
encode_rsid2857.tsv	266	266
encode_rsid2858.tsv	247	246
encode_rsid2859.tsv	242	242
encode_rsid2860.tsv	254	254
encode_rsid2861.tsv	282	282
encode_rsid2862.tsv	263	263
encode_rsid2863.tsv	268	268
encode_rsid2864.tsv	213	213
encode_rsid2865.tsv	267	267
encode_rsid2866.tsv	262	261
encode_rsid2867.tsv	232	232
encode_rsid2868.tsv	226	226
encode_rsid2869.tsv	270	270
encode_rsid2870.tsv	250	250
encode_rsid2871.tsv	256	256
encode_rsid2872.tsv	234	234
encode_rsid2873.tsv	257	257
encode_rsid2874.tsv	247	247
encode_rsid2875.tsv	236	236
encode_rsid2876.tsv	267	267
encode_rsid2877.tsv	265	265
encode_rsid2878.tsv	265	265
encode_rsid2879.tsv	238	238
encode_rsid2880.tsv	249	249
encode_rsid2881.tsv	227	227
encode_rsid2882.tsv	236	236
encode_rsid2883.tsv	250	250
encode_rsid2884.tsv	267	267
encode_rsid2885.tsv	258	258
encode_rsid2886.tsv	257	257
encode_rsid2887.tsv	233	233
encode_rsid2888.tsv	228	227
encode_rsid2889.tsv	218	218
encode_rsid2890.tsv	247	247
encode_rsid2891.tsv	252	252
encode_rsid2892.tsv	238	238
encode_rsid2893.tsv	205	205
encode_rsid2894.tsv	261	261
encode_rsid2895.tsv	247	247
encode_rsid2896.tsv	240	240
encode_rsid2897.tsv	247	247
encode_rsid2898.tsv	263	263
encode_rsid2899.tsv	223	223
encode_rsid2900.tsv	260	259
encode_rsid2901.tsv	272	272
encode_rsid2902.tsv	252	252
encode_rsid2903.tsv	253	253
encode_rsid2904.tsv	259	259
encode_rsid2905.tsv	232	232
encode_rsid2906.tsv	243	243
encode_rsid2907.tsv	283	283
encode_rsid2908.tsv	247	247
encode_rsid2909.tsv	260	260
encode_rsid2910.tsv	248	248
encode_rsid2911.tsv	226	226
encode_rsid2912.tsv	251	251
encode_rsid2913.tsv	265	265
encode_rsid2914.tsv	243	243
encode_rsid2915.tsv	258	258
encode_rsid2916.tsv	251	250
encode_rsid2917.tsv	240	240
encode_rsid2918.tsv	244	244
encode_rsid2919.tsv	263	262
encode_rsid2920.tsv	253	253
encode_rsid2921.tsv	264	264
encode_rsid2922.tsv	232	232
encode_rsid2923.tsv	229	229
encode_rsid2924.tsv	230	230
encode_rsid2925.tsv	245	245
encode_rsid2926.tsv	260	260
encode_rsid2927.tsv	299	299
encode_rsid2928.tsv	247	247
encode_rsid2929.tsv	223	223
encode_rsid2930.tsv	266	266
encode_rsid2931.tsv	246	246
encode_rsid2932.tsv	242	242
encode_rsid2933.tsv	226	226
encode_rsid2934.tsv	238	238
encode_rsid2935.tsv	254	253
encode_rsid2936.tsv	257	257
encode_rsid2937.tsv	238	238
encode_rsid2938.tsv	230	230
encode_rsid2939.tsv	256	256
encode_rsid2940.tsv	245	245
encode_rsid2941.tsv	256	256
encode_rsid2942.tsv	261	261
encode_rsid2943.tsv	222	222
encode_rsid2944.tsv	232	232
encode_rsid2945.tsv	264	264
encode_rsid2946.tsv	247	247
encode_rsid2947.tsv	230	229
encode_rsid2948.tsv	263	263
encode_rsid2949.tsv	237	237
encode_rsid2950.tsv	237	237
encode_rsid2951.tsv	266	266
encode_rsid2952.tsv	241	241
encode_rsid2953.tsv	281	281
encode_rsid2954.tsv	241	241
encode_rsid2955.tsv	248	248
encode_rsid2956.tsv	241	241
encode_rsid2957.tsv	246	246
encode_rsid2958.tsv	300	300
encode_rsid2959.tsv	233	233
encode_rsid2960.tsv	240	240
encode_rsid2961.tsv	251	251
encode_rsid2962.tsv	237	237
encode_rsid2963.tsv	239	239
encode_rsid2964.tsv	252	252
encode_rsid2965.tsv	239	239
encode_rsid2966.tsv	240	240
encode_rsid2967.tsv	260	260
encode_rsid2968.tsv	226	226
encode_rsid2969.tsv	243	243
encode_rsid2970.tsv	247	247
encode_rsid2971.tsv	241	241
encode_rsid2972.tsv	239	239
encode_rsid2973.tsv	256	256
encode_rsid2974.tsv	266	266
encode_rsid2975.tsv	251	251
encode_rsid2976.tsv	217	217
encode_rsid2977.tsv	258	258
encode_rsid2978.tsv	248	248
encode_rsid2979.tsv	272	272
encode_rsid2980.tsv	234	234
encode_rsid2981.tsv	236	236
encode_rsid2982.tsv	246	246
encode_rsid2983.tsv	239	239
encode_rsid2984.tsv	242	242
encode_rsid2985.tsv	250	250
encode_rsid2986.tsv	234	234
encode_rsid2987.tsv	267	266
encode_rsid2988.tsv	294	294
encode_rsid2989.tsv	251	251
encode_rsid2990.tsv	275	275
encode_rsid2991.tsv	253	253
encode_rsid2992.tsv	227	227
encode_rsid2993.tsv	246	246
encode_rsid2994.tsv	248	248
encode_rsid2995.tsv	232	232
encode_rsid2996.tsv	246	246
encode_rsid2997.tsv	233	233
encode_rsid2998.tsv	239	239
encode_rsid2999.tsv	255	255
encode_rsid3000.tsv	238	238
encode_rsid3001.tsv	255	255
encode_rsid3002.tsv	256	256
encode_rsid3003.tsv	251	251
encode_rsid3004.tsv	248	248
encode_rsid3005.tsv	263	263
encode_rsid3006.tsv	265	265
encode_rsid3007.tsv	239	239
encode_rsid3008.tsv	257	257
encode_rsid3009.tsv	252	252
encode_rsid3010.tsv	236	236
encode_rsid3011.tsv	240	240
encode_rsid3012.tsv	240	240
encode_rsid3013.tsv	247	247
encode_rsid3014.tsv	271	271
encode_rsid3015.tsv	229	229
encode_rsid3016.tsv	234	234
encode_rsid3017.tsv	263	263
encode_rsid3018.tsv	253	253
encode_rsid3019.tsv	266	266
encode_rsid3020.tsv	240	240
encode_rsid3021.tsv	239	239
encode_rsid3022.tsv	247	247
encode_rsid3023.tsv	213	213
encode_rsid3024.tsv	234	234
encode_rsid3025.tsv	252	252
encode_rsid3026.tsv	229	228
encode_rsid3027.tsv	247	247
encode_rsid3028.tsv	238	238
encode_rsid3029.tsv	251	250
encode_rsid3030.tsv	253	253
encode_rsid3031.tsv	244	244
encode_rsid3032.tsv	266	266
encode_rsid3033.tsv	251	251
encode_rsid3034.tsv	260	260
encode_rsid3035.tsv	247	247
encode_rsid3036.tsv	264	264
encode_rsid3037.tsv	252	252
encode_rsid3038.tsv	254	254
encode_rsid3039.tsv	219	219
encode_rsid3040.tsv	272	272
encode_rsid3041.tsv	218	218
encode_rsid3042.tsv	245	244
encode_rsid3043.tsv	258	258
encode_rsid3044.tsv	251	251
encode_rsid3045.tsv	237	237
encode_rsid3046.tsv	234	234
encode_rsid3047.tsv	243	243
encode_rsid3048.tsv	242	242
encode_rsid3049.tsv	259	259
encode_rsid3050.tsv	263	263
encode_rsid3051.tsv	270	269
encode_rsid3052.tsv	256	256
encode_rsid3053.tsv	266	266
encode_rsid3054.tsv	265	264
encode_rsid3055.tsv	254	253
encode_rsid3056.tsv	256	256
encode_rsid3057.tsv	233	232
encode_rsid3058.tsv	282	282
encode_rsid3059.tsv	240	240
encode_rsid3060.tsv	251	251
encode_rsid3061.tsv	233	233
encode_rsid3062.tsv	274	273
encode_rsid3063.tsv	240	240
encode_rsid3064.tsv	243	243
encode_rsid3065.tsv	233	233
encode_rsid3066.tsv	238	238
encode_rsid3067.tsv	240	240
encode_rsid3068.tsv	238	238
encode_rsid3069.tsv	248	248
encode_rsid3070.tsv	248	248
encode_rsid3071.tsv	247	247
encode_rsid3072.tsv	272	272
encode_rsid3073.tsv	228	228
encode_rsid3074.tsv	258	258
encode_rsid3075.tsv	249	249
encode_rsid3076.tsv	264	264
encode_rsid3077.tsv	244	244
encode_rsid3078.tsv	241	241
encode_rsid3079.tsv	266	266
encode_rsid3080.tsv	243	243
encode_rsid3081.tsv	244	243
encode_rsid3082.tsv	266	266
encode_rsid3083.tsv	238	238
encode_rsid3084.tsv	253	253
encode_rsid3085.tsv	240	240
encode_rsid3086.tsv	245	245
encode_rsid3087.tsv	247	247
encode_rsid3088.tsv	254	254
encode_rsid3089.tsv	261	261
encode_rsid3090.tsv	259	259
encode_rsid3091.tsv	253	252
encode_rsid3092.tsv	218	218
encode_rsid3093.tsv	235	235
encode_rsid3094.tsv	261	261
encode_rsid3095.tsv	240	240
encode_rsid3096.tsv	271	271
encode_rsid3097.tsv	256	256
encode_rsid3098.tsv	261	261
encode_rsid3099.tsv	231	231
encode_rsid3100.tsv	240	240
encode_rsid3101.tsv	232	232
encode_rsid3102.tsv	264	264
encode_rsid3103.tsv	256	256
encode_rsid3104.tsv	274	274
encode_rsid3105.tsv	265	265
encode_rsid3106.tsv	235	235
encode_rsid3107.tsv	249	248
encode_rsid3108.tsv	244	244
encode_rsid3109.tsv	261	261
encode_rsid3110.tsv	232	231
encode_rsid3111.tsv	255	255
encode_rsid3112.tsv	257	257
encode_rsid3113.tsv	248	248
encode_rsid3114.tsv	266	266
encode_rsid3115.tsv	241	241
encode_rsid3116.tsv	242	242
encode_rsid3117.tsv	251	251
encode_rsid3118.tsv	231	230
encode_rsid3119.tsv	237	237
encode_rsid3120.tsv	254	254
encode_rsid3121.tsv	236	236
encode_rsid3122.tsv	253	253
encode_rsid3123.tsv	249	249
encode_rsid3124.tsv	226	225
encode_rsid3125.tsv	238	238
encode_rsid3126.tsv	254	254
encode_rsid3127.tsv	248	248
encode_rsid3128.tsv	292	291
encode_rsid3129.tsv	234	234
encode_rsid3130.tsv	246	245
encode_rsid3131.tsv	270	270
encode_rsid3132.tsv	244	244
encode_rsid3133.tsv	225	225
encode_rsid3134.tsv	264	263
encode_rsid3135.tsv	231	231
encode_rsid3136.tsv	259	258
encode_rsid3137.tsv	245	245
encode_rsid3138.tsv	225	225
encode_rsid3139.tsv	281	281
encode_rsid3140.tsv	254	254
encode_rsid3141.tsv	242	242
encode_rsid3142.tsv	255	255
encode_rsid3143.tsv	247	247
encode_rsid3144.tsv	243	243
encode_rsid3145.tsv	267	267
encode_rsid3146.tsv	263	263
encode_rsid3147.tsv	242	242
encode_rsid3148.tsv	262	262
encode_rsid3149.tsv	246	246
encode_rsid3150.tsv	245	245
encode_rsid3151.tsv	242	242
encode_rsid3152.tsv	243	243
encode_rsid3153.tsv	253	253
encode_rsid3154.tsv	227	227
encode_rsid3155.tsv	246	246
encode_rsid3156.tsv	235	234
encode_rsid3157.tsv	250	250
encode_rsid3158.tsv	265	265
encode_rsid3159.tsv	255	255
encode_rsid3160.tsv	244	244
encode_rsid3161.tsv	272	271
encode_rsid3162.tsv	260	260
encode_rsid3163.tsv	255	255
encode_rsid3164.tsv	265	265
encode_rsid3165.tsv	239	239
encode_rsid3166.tsv	265	265
encode_rsid3167.tsv	244	244
encode_rsid3168.tsv	262	262
encode_rsid3169.tsv	236	236
encode_rsid3170.tsv	219	219
encode_rsid3171.tsv	263	263
encode_rsid3172.tsv	251	250
encode_rsid3173.tsv	255	255
encode_rsid3174.tsv	251	251
encode_rsid3175.tsv	230	230
encode_rsid3176.tsv	265	265
encode_rsid3177.tsv	254	254
encode_rsid3178.tsv	243	243
encode_rsid3179.tsv	239	239
encode_rsid3180.tsv	239	239
encode_rsid3181.tsv	230	230
encode_rsid3182.tsv	218	218
encode_rsid3183.tsv	251	251
encode_rsid3184.tsv	245	245
encode_rsid3185.tsv	249	249
encode_rsid3186.tsv	241	241
encode_rsid3187.tsv	250	249
encode_rsid3188.tsv	235	235
encode_rsid3189.tsv	243	243
encode_rsid3190.tsv	217	217
encode_rsid3191.tsv	260	260
encode_rsid3192.tsv	232	232
encode_rsid3193.tsv	273	273
encode_rsid3194.tsv	250	250
encode_rsid3195.tsv	243	243
encode_rsid3196.tsv	244	244
encode_rsid3197.tsv	242	242
encode_rsid3198.tsv	249	249
encode_rsid3199.tsv	219	219
encode_rsid3200.tsv	244	244
encode_rsid3201.tsv	225	225
encode_rsid3202.tsv	261	261
encode_rsid3203.tsv	276	275
encode_rsid3204.tsv	246	245
encode_rsid3205.tsv	255	255
encode_rsid3206.tsv	243	243
encode_rsid3207.tsv	244	244
encode_rsid3208.tsv	251	250
encode_rsid3209.tsv	238	238
encode_rsid3210.tsv	230	230
encode_rsid3211.tsv	272	272
encode_rsid3212.tsv	251	251
encode_rsid3213.tsv	243	243
encode_rsid3214.tsv	246	246
encode_rsid3215.tsv	257	257
encode_rsid3216.tsv	270	270
encode_rsid3217.tsv	220	220
encode_rsid3218.tsv	231	231
encode_rsid3219.tsv	240	240
encode_rsid3220.tsv	241	241
encode_rsid3221.tsv	244	244
encode_rsid3222.tsv	231	231
encode_rsid3223.tsv	268	268
encode_rsid3224.tsv	284	284
encode_rsid3225.tsv	243	243
encode_rsid3226.tsv	244	243
encode_rsid3227.tsv	237	237
encode_rsid3228.tsv	258	258
encode_rsid3229.tsv	236	236
encode_rsid3230.tsv	263	263
encode_rsid3231.tsv	263	263
encode_rsid3232.tsv	251	251
encode_rsid3233.tsv	261	261
encode_rsid3234.tsv	255	255
encode_rsid3235.tsv	255	255
encode_rsid3236.tsv	234	234
encode_rsid3237.tsv	264	264
encode_rsid3238.tsv	262	262
encode_rsid3239.tsv	268	268
encode_rsid3240.tsv	269	269
encode_rsid3241.tsv	244	244
encode_rsid3242.tsv	250	250
encode_rsid3243.tsv	260	259
encode_rsid3244.tsv	242	242
encode_rsid3245.tsv	230	230
encode_rsid3246.tsv	244	244
encode_rsid3247.tsv	239	239
encode_rsid3248.tsv	249	249
encode_rsid3249.tsv	261	260
encode_rsid3250.tsv	241	241
encode_rsid3251.tsv	259	259
encode_rsid3252.tsv	266	266
encode_rsid3253.tsv	230	230
encode_rsid3254.tsv	252	252
encode_rsid3255.tsv	209	209
encode_rsid3256.tsv	235	235
encode_rsid3257.tsv	235	235
encode_rsid3258.tsv	265	265
encode_rsid3259.tsv	259	259
encode_rsid3260.tsv	249	249
encode_rsid3261.tsv	234	234
encode_rsid3262.tsv	227	227
encode_rsid3263.tsv	256	256
encode_rsid3264.tsv	256	256
encode_rsid3265.tsv	239	239
encode_rsid3266.tsv	265	265
encode_rsid3267.tsv	242	242
