random	SNP_n	Enh_n
encode_rsid200.tsv	277	277
encode_rsid201.tsv	260	260
encode_rsid202.tsv	246	246
encode_rsid203.tsv	254	254
encode_rsid204.tsv	240	240
encode_rsid205.tsv	252	251
encode_rsid206.tsv	240	240
encode_rsid207.tsv	270	270
encode_rsid208.tsv	264	264
encode_rsid209.tsv	250	250
encode_rsid210.tsv	246	246
encode_rsid211.tsv	264	264
encode_rsid212.tsv	252	252
encode_rsid213.tsv	224	223
encode_rsid214.tsv	261	261
encode_rsid215.tsv	228	228
encode_rsid216.tsv	247	247
encode_rsid217.tsv	260	260
encode_rsid218.tsv	239	239
encode_rsid219.tsv	226	226
encode_rsid220.tsv	225	225
encode_rsid221.tsv	243	243
encode_rsid222.tsv	272	272
encode_rsid223.tsv	223	223
encode_rsid224.tsv	240	240
encode_rsid225.tsv	240	240
encode_rsid226.tsv	245	245
encode_rsid227.tsv	252	252
encode_rsid228.tsv	272	272
encode_rsid229.tsv	238	238
encode_rsid230.tsv	234	234
encode_rsid231.tsv	221	220
encode_rsid232.tsv	218	218
encode_rsid233.tsv	239	239
encode_rsid234.tsv	231	231
encode_rsid235.tsv	260	260
encode_rsid236.tsv	248	248
encode_rsid237.tsv	256	255
encode_rsid238.tsv	247	247
encode_rsid239.tsv	253	253
encode_rsid240.tsv	259	259
encode_rsid241.tsv	221	221
encode_rsid242.tsv	246	246
encode_rsid243.tsv	250	250
encode_rsid244.tsv	249	249
encode_rsid245.tsv	244	244
encode_rsid246.tsv	244	244
encode_rsid247.tsv	225	225
encode_rsid248.tsv	223	223
encode_rsid249.tsv	245	245
encode_rsid250.tsv	241	240
encode_rsid251.tsv	239	239
encode_rsid252.tsv	256	256
encode_rsid253.tsv	262	262
encode_rsid254.tsv	261	261
encode_rsid255.tsv	263	263
encode_rsid256.tsv	247	247
encode_rsid257.tsv	233	233
encode_rsid258.tsv	220	220
encode_rsid259.tsv	237	237
encode_rsid260.tsv	244	244
encode_rsid261.tsv	276	276
encode_rsid262.tsv	241	241
encode_rsid263.tsv	266	266
encode_rsid264.tsv	225	225
encode_rsid265.tsv	232	232
encode_rsid266.tsv	261	260
encode_rsid267.tsv	261	261
encode_rsid268.tsv	217	217
encode_rsid269.tsv	254	254
encode_rsid270.tsv	257	257
encode_rsid271.tsv	253	253
encode_rsid272.tsv	246	246
encode_rsid273.tsv	284	284
encode_rsid274.tsv	248	247
encode_rsid275.tsv	261	261
encode_rsid276.tsv	264	264
encode_rsid277.tsv	243	243
encode_rsid278.tsv	259	259
encode_rsid279.tsv	236	236
encode_rsid280.tsv	232	231
encode_rsid281.tsv	254	254
encode_rsid282.tsv	235	235
encode_rsid283.tsv	257	257
encode_rsid284.tsv	253	253
encode_rsid285.tsv	240	240
encode_rsid286.tsv	214	214
encode_rsid287.tsv	260	260
encode_rsid288.tsv	250	250
encode_rsid289.tsv	271	271
encode_rsid290.tsv	258	258
encode_rsid291.tsv	238	238
encode_rsid292.tsv	246	246
encode_rsid293.tsv	262	262
encode_rsid294.tsv	213	213
encode_rsid295.tsv	258	258
encode_rsid296.tsv	243	243
encode_rsid297.tsv	235	235
encode_rsid298.tsv	244	244
encode_rsid299.tsv	253	253
encode_rsid300.tsv	251	251
encode_rsid301.tsv	240	240
encode_rsid302.tsv	249	249
encode_rsid303.tsv	266	266
encode_rsid304.tsv	252	252
encode_rsid305.tsv	255	255
encode_rsid306.tsv	261	261
encode_rsid307.tsv	226	226
encode_rsid308.tsv	241	241
encode_rsid309.tsv	241	241
encode_rsid310.tsv	282	282
encode_rsid311.tsv	237	237
encode_rsid312.tsv	245	245
encode_rsid313.tsv	253	253
encode_rsid314.tsv	269	269
encode_rsid315.tsv	243	242
encode_rsid316.tsv	260	260
encode_rsid317.tsv	245	245
encode_rsid318.tsv	248	247
encode_rsid319.tsv	260	260
encode_rsid320.tsv	269	269
encode_rsid321.tsv	271	271
encode_rsid322.tsv	237	237
encode_rsid323.tsv	259	259
encode_rsid324.tsv	242	242
encode_rsid325.tsv	247	247
encode_rsid326.tsv	247	247
encode_rsid327.tsv	259	259
encode_rsid328.tsv	237	237
encode_rsid329.tsv	244	244
encode_rsid330.tsv	250	250
encode_rsid331.tsv	231	231
encode_rsid332.tsv	245	245
encode_rsid333.tsv	260	260
