random	SNP_n	lncRNA_n
lncrna_rsid356.bed	26	36
lncrna_rsid357.bed	19	19
lncrna_rsid358.bed	19	25
lncrna_rsid359.bed	25	33
lncrna_rsid360.bed	23	28
lncrna_rsid361.bed	23	34
lncrna_rsid362.bed	26	39
lncrna_rsid363.bed	19	23
lncrna_rsid364.bed	22	23
lncrna_rsid365.bed	24	30
lncrna_rsid366.bed	23	29
lncrna_rsid367.bed	29	43
lncrna_rsid368.bed	28	31
lncrna_rsid369.bed	21	23
lncrna_rsid370.bed	24	36
lncrna_rsid371.bed	36	48
lncrna_rsid372.bed	23	28
lncrna_rsid373.bed	21	26
lncrna_rsid374.bed	20	46
lncrna_rsid375.bed	16	16
lncrna_rsid376.bed	18	23
lncrna_rsid377.bed	23	30
lncrna_rsid378.bed	14	18
lncrna_rsid379.bed	29	45
lncrna_rsid380.bed	21	29
lncrna_rsid381.bed	12	17
lncrna_rsid382.bed	28	41
lncrna_rsid383.bed	23	28
lncrna_rsid384.bed	20	21
lncrna_rsid385.bed	23	32
lncrna_rsid386.bed	20	31
lncrna_rsid387.bed	27	42
lncrna_rsid388.bed	19	22
lncrna_rsid389.bed	24	32
lncrna_rsid390.bed	16	30
lncrna_rsid391.bed	20	31
lncrna_rsid392.bed	20	31
lncrna_rsid393.bed	19	32
lncrna_rsid394.bed	15	23
lncrna_rsid395.bed	21	25
lncrna_rsid396.bed	25	39
lncrna_rsid397.bed	12	18
lncrna_rsid398.bed	22	25
lncrna_rsid399.bed	18	26
lncrna_rsid400.bed	19	28
lncrna_rsid401.bed	22	32
lncrna_rsid402.bed	27	43
lncrna_rsid403.bed	24	40
lncrna_rsid404.bed	17	28
lncrna_rsid405.bed	24	36
lncrna_rsid406.bed	18	21
lncrna_rsid407.bed	24	29
lncrna_rsid408.bed	25	30
lncrna_rsid409.bed	19	26
lncrna_rsid410.bed	23	34
lncrna_rsid411.bed	26	38
lncrna_rsid412.bed	14	21
lncrna_rsid413.bed	20	24
lncrna_rsid414.bed	29	46
lncrna_rsid415.bed	17	22
lncrna_rsid416.bed	10	16
lncrna_rsid417.bed	17	19
lncrna_rsid418.bed	15	20
lncrna_rsid419.bed	18	18
lncrna_rsid420.bed	17	21
lncrna_rsid421.bed	18	22
lncrna_rsid422.bed	17	21
lncrna_rsid423.bed	27	33
lncrna_rsid424.bed	21	24
lncrna_rsid425.bed	30	39
lncrna_rsid426.bed	21	27
lncrna_rsid427.bed	19	29
lncrna_rsid428.bed	15	21
lncrna_rsid429.bed	20	33
lncrna_rsid430.bed	12	15
lncrna_rsid431.bed	15	22
lncrna_rsid432.bed	19	30
lncrna_rsid433.bed	20	27
lncrna_rsid434.bed	30	57
lncrna_rsid435.bed	18	20
lncrna_rsid436.bed	24	43
lncrna_rsid437.bed	17	22
lncrna_rsid438.bed	20	24
lncrna_rsid439.bed	18	21
lncrna_rsid440.bed	15	17
lncrna_rsid441.bed	23	27
lncrna_rsid442.bed	22	32
lncrna_rsid443.bed	20	23
lncrna_rsid444.bed	30	39
lncrna_rsid445.bed	27	33
lncrna_rsid446.bed	21	28
lncrna_rsid447.bed	14	44
lncrna_rsid448.bed	19	31
lncrna_rsid449.bed	29	36
lncrna_rsid450.bed	13	17
lncrna_rsid451.bed	15	16
lncrna_rsid452.bed	20	29
lncrna_rsid453.bed	29	50
lncrna_rsid454.bed	21	31
lncrna_rsid455.bed	29	38
lncrna_rsid456.bed	17	22
lncrna_rsid457.bed	17	18
lncrna_rsid458.bed	22	26
lncrna_rsid459.bed	19	25
lncrna_rsid460.bed	20	27
lncrna_rsid461.bed	19	23
lncrna_rsid462.bed	25	35
lncrna_rsid463.bed	20	26
lncrna_rsid464.bed	19	20
lncrna_rsid465.bed	18	24
lncrna_rsid466.bed	19	24
lncrna_rsid467.bed	23	27
lncrna_rsid468.bed	21	31
lncrna_rsid469.bed	22	29
lncrna_rsid470.bed	22	29
lncrna_rsid471.bed	23	25
lncrna_rsid472.bed	18	28
lncrna_rsid473.bed	17	23
lncrna_rsid474.bed	24	34
lncrna_rsid475.bed	17	21
lncrna_rsid476.bed	20	24
lncrna_rsid477.bed	14	19
lncrna_rsid478.bed	14	15
lncrna_rsid479.bed	20	21
lncrna_rsid480.bed	19	27
lncrna_rsid481.bed	19	27
lncrna_rsid482.bed	18	25
lncrna_rsid483.bed	27	38
lncrna_rsid484.bed	25	48
lncrna_rsid485.bed	29	48
lncrna_rsid486.bed	18	27
lncrna_rsid487.bed	19	27
lncrna_rsid488.bed	32	39
lncrna_rsid489.bed	17	21
lncrna_rsid490.bed	19	21
lncrna_rsid491.bed	18	22
lncrna_rsid492.bed	25	41
lncrna_rsid493.bed	21	28
lncrna_rsid494.bed	18	25
lncrna_rsid495.bed	25	38
lncrna_rsid496.bed	18	26
lncrna_rsid497.bed	22	24
lncrna_rsid498.bed	23	29
lncrna_rsid499.bed	21	34
lncrna_rsid500.bed	29	54
lncrna_rsid501.bed	20	34
lncrna_rsid502.bed	22	25
lncrna_rsid503.bed	22	28
lncrna_rsid504.bed	21	25
lncrna_rsid505.bed	20	38
lncrna_rsid506.bed	15	23
lncrna_rsid507.bed	15	22
lncrna_rsid508.bed	28	44
lncrna_rsid509.bed	20	24
lncrna_rsid510.bed	19	21
lncrna_rsid511.bed	33	48
lncrna_rsid512.bed	22	37
lncrna_rsid513.bed	16	41
lncrna_rsid514.bed	13	16
lncrna_rsid515.bed	19	37
lncrna_rsid516.bed	32	40
lncrna_rsid517.bed	20	23
lncrna_rsid518.bed	21	33
lncrna_rsid519.bed	20	45
lncrna_rsid520.bed	26	41
lncrna_rsid521.bed	21	26
lncrna_rsid522.bed	18	24
lncrna_rsid523.bed	18	34
lncrna_rsid524.bed	23	37
lncrna_rsid525.bed	20	22
lncrna_rsid526.bed	28	37
lncrna_rsid527.bed	26	35
lncrna_rsid528.bed	22	24
lncrna_rsid529.bed	26	29
lncrna_rsid530.bed	24	29
lncrna_rsid531.bed	24	27
lncrna_rsid532.bed	13	17
lncrna_rsid533.bed	18	24
lncrna_rsid534.bed	21	25
lncrna_rsid535.bed	18	21
lncrna_rsid536.bed	21	36
lncrna_rsid537.bed	20	22
lncrna_rsid538.bed	24	35
lncrna_rsid539.bed	19	24
lncrna_rsid540.bed	28	38
lncrna_rsid541.bed	22	38
lncrna_rsid542.bed	22	54
lncrna_rsid543.bed	24	30
lncrna_rsid544.bed	27	34
lncrna_rsid545.bed	24	36
lncrna_rsid546.bed	26	37
lncrna_rsid547.bed	24	30
lncrna_rsid548.bed	19	27
lncrna_rsid549.bed	22	26
lncrna_rsid550.bed	28	42
lncrna_rsid551.bed	19	30
lncrna_rsid552.bed	21	37
lncrna_rsid553.bed	23	44
lncrna_rsid554.bed	20	38
lncrna_rsid555.bed	28	29
lncrna_rsid556.bed	17	29
lncrna_rsid557.bed	12	23
lncrna_rsid558.bed	19	30
lncrna_rsid559.bed	22	24
lncrna_rsid560.bed	11	13
lncrna_rsid561.bed	15	22
lncrna_rsid562.bed	20	33
lncrna_rsid563.bed	24	59
lncrna_rsid564.bed	18	22
lncrna_rsid565.bed	28	38
lncrna_rsid566.bed	22	28
lncrna_rsid567.bed	26	38
lncrna_rsid568.bed	15	27
lncrna_rsid569.bed	20	26
lncrna_rsid570.bed	21	37
lncrna_rsid571.bed	18	22
lncrna_rsid572.bed	19	24
lncrna_rsid573.bed	15	19
lncrna_rsid574.bed	24	29
lncrna_rsid575.bed	23	27
lncrna_rsid576.bed	19	22
lncrna_rsid577.bed	19	28
lncrna_rsid578.bed	21	31
lncrna_rsid579.bed	19	29
lncrna_rsid580.bed	20	24
lncrna_rsid581.bed	23	29
lncrna_rsid582.bed	30	52
lncrna_rsid583.bed	23	36
lncrna_rsid584.bed	14	16
lncrna_rsid585.bed	25	38
lncrna_rsid586.bed	19	24
lncrna_rsid587.bed	17	21
lncrna_rsid588.bed	19	26
lncrna_rsid589.bed	20	40
lncrna_rsid590.bed	21	34
lncrna_rsid591.bed	15	20
lncrna_rsid592.bed	27	32
lncrna_rsid593.bed	16	23
lncrna_rsid594.bed	12	12
lncrna_rsid595.bed	23	31
lncrna_rsid596.bed	22	28
lncrna_rsid597.bed	19	26
lncrna_rsid598.bed	29	42
lncrna_rsid599.bed	19	31
lncrna_rsid600.bed	22	25
lncrna_rsid601.bed	23	26
lncrna_rsid602.bed	21	25
lncrna_rsid603.bed	24	34
lncrna_rsid604.bed	20	28
lncrna_rsid605.bed	21	23
lncrna_rsid606.bed	18	31
lncrna_rsid607.bed	28	77
lncrna_rsid608.bed	13	18
lncrna_rsid609.bed	24	32
lncrna_rsid610.bed	19	23
lncrna_rsid611.bed	12	20
lncrna_rsid612.bed	20	26
lncrna_rsid613.bed	16	33
lncrna_rsid614.bed	20	34
lncrna_rsid615.bed	24	38
lncrna_rsid616.bed	22	26
lncrna_rsid617.bed	21	31
lncrna_rsid618.bed	18	34
lncrna_rsid619.bed	24	33
lncrna_rsid620.bed	18	20
lncrna_rsid621.bed	25	30
lncrna_rsid622.bed	14	20
lncrna_rsid623.bed	27	30
lncrna_rsid624.bed	13	18
lncrna_rsid625.bed	19	24
lncrna_rsid626.bed	14	14
lncrna_rsid627.bed	15	16
lncrna_rsid628.bed	26	29
lncrna_rsid629.bed	25	31
lncrna_rsid630.bed	19	28
lncrna_rsid631.bed	20	29
lncrna_rsid632.bed	24	30
lncrna_rsid633.bed	15	16
lncrna_rsid634.bed	23	29
lncrna_rsid635.bed	21	31
lncrna_rsid636.bed	23	29
lncrna_rsid637.bed	26	34
lncrna_rsid638.bed	22	48
lncrna_rsid639.bed	13	17
lncrna_rsid640.bed	22	28
lncrna_rsid641.bed	24	36
lncrna_rsid642.bed	18	35
lncrna_rsid643.bed	20	23
lncrna_rsid644.bed	24	29
lncrna_rsid645.bed	26	35
lncrna_rsid646.bed	20	55
lncrna_rsid647.bed	30	40
lncrna_rsid648.bed	25	30
lncrna_rsid649.bed	20	29
lncrna_rsid650.bed	28	39
lncrna_rsid651.bed	16	20
lncrna_rsid652.bed	23	30
lncrna_rsid653.bed	26	31
lncrna_rsid654.bed	20	21
lncrna_rsid655.bed	31	48
lncrna_rsid656.bed	18	25
lncrna_rsid657.bed	18	27
lncrna_rsid658.bed	18	19
lncrna_rsid659.bed	20	30
lncrna_rsid660.bed	18	21
lncrna_rsid661.bed	18	37
lncrna_rsid662.bed	24	36
lncrna_rsid663.bed	23	30
lncrna_rsid664.bed	18	28
lncrna_rsid665.bed	13	16
lncrna_rsid666.bed	22	27
lncrna_rsid667.bed	19	30
lncrna_rsid668.bed	26	41
lncrna_rsid669.bed	19	27
lncrna_rsid670.bed	28	46
lncrna_rsid671.bed	17	22
lncrna_rsid672.bed	17	21
lncrna_rsid673.bed	21	29
lncrna_rsid674.bed	25	31
lncrna_rsid675.bed	20	32
lncrna_rsid676.bed	21	35
lncrna_rsid677.bed	16	19
lncrna_rsid678.bed	27	41
lncrna_rsid679.bed	22	31
lncrna_rsid680.bed	16	20
lncrna_rsid681.bed	19	29
lncrna_rsid682.bed	23	28
lncrna_rsid683.bed	24	37
lncrna_rsid684.bed	29	35
lncrna_rsid685.bed	27	35
lncrna_rsid686.bed	19	26
lncrna_rsid687.bed	21	32
lncrna_rsid688.bed	18	28
lncrna_rsid689.bed	23	39
lncrna_rsid690.bed	21	27
lncrna_rsid691.bed	24	30
lncrna_rsid692.bed	25	56
lncrna_rsid693.bed	18	27
lncrna_rsid694.bed	15	18
lncrna_rsid695.bed	20	28
lncrna_rsid696.bed	10	15
lncrna_rsid697.bed	26	30
lncrna_rsid698.bed	20	30
lncrna_rsid699.bed	26	29
lncrna_rsid700.bed	18	22
lncrna_rsid701.bed	18	20
lncrna_rsid702.bed	25	30
lncrna_rsid703.bed	27	37
lncrna_rsid704.bed	25	32
lncrna_rsid705.bed	29	41
lncrna_rsid706.bed	27	33
lncrna_rsid707.bed	19	19
lncrna_rsid708.bed	25	31
lncrna_rsid709.bed	24	34
lncrna_rsid710.bed	23	26
lncrna_rsid711.bed	24	32
lncrna_rsid712.bed	15	16
lncrna_rsid713.bed	29	31
lncrna_rsid714.bed	34	46
lncrna_rsid715.bed	18	26
lncrna_rsid716.bed	13	18
lncrna_rsid717.bed	11	13
lncrna_rsid718.bed	19	32
lncrna_rsid719.bed	30	47
lncrna_rsid720.bed	16	24
lncrna_rsid721.bed	16	21
lncrna_rsid722.bed	15	21
lncrna_rsid723.bed	17	27
lncrna_rsid724.bed	28	35
lncrna_rsid725.bed	21	32
lncrna_rsid726.bed	21	32
lncrna_rsid727.bed	18	34
lncrna_rsid728.bed	19	23
lncrna_rsid729.bed	10	18
lncrna_rsid730.bed	27	36
lncrna_rsid731.bed	16	24
lncrna_rsid732.bed	17	23
lncrna_rsid733.bed	19	32
lncrna_rsid734.bed	13	16
lncrna_rsid735.bed	24	38
lncrna_rsid736.bed	29	36
lncrna_rsid737.bed	17	22
lncrna_rsid738.bed	25	30
lncrna_rsid739.bed	19	32
lncrna_rsid740.bed	16	23
lncrna_rsid741.bed	21	28
lncrna_rsid742.bed	20	29
lncrna_rsid743.bed	19	24
lncrna_rsid744.bed	22	22
lncrna_rsid745.bed	24	32
lncrna_rsid746.bed	21	34
lncrna_rsid747.bed	16	34
lncrna_rsid748.bed	21	25
lncrna_rsid749.bed	22	27
lncrna_rsid750.bed	26	32
lncrna_rsid751.bed	23	27
lncrna_rsid752.bed	15	26
lncrna_rsid753.bed	16	23
lncrna_rsid754.bed	23	28
lncrna_rsid755.bed	19	23
lncrna_rsid756.bed	19	26
lncrna_rsid757.bed	12	13
lncrna_rsid758.bed	21	26
lncrna_rsid759.bed	20	32
lncrna_rsid760.bed	18	25
lncrna_rsid761.bed	22	33
lncrna_rsid762.bed	22	39
lncrna_rsid763.bed	23	31
lncrna_rsid764.bed	24	37
lncrna_rsid765.bed	25	34
lncrna_rsid766.bed	23	34
lncrna_rsid767.bed	28	41
lncrna_rsid768.bed	20	47
lncrna_rsid769.bed	20	28
lncrna_rsid770.bed	13	18
lncrna_rsid771.bed	15	17
lncrna_rsid772.bed	20	30
lncrna_rsid773.bed	20	25
lncrna_rsid774.bed	19	27
lncrna_rsid775.bed	32	48
lncrna_rsid776.bed	29	38
lncrna_rsid777.bed	19	19
lncrna_rsid778.bed	13	14
lncrna_rsid779.bed	25	34
lncrna_rsid780.bed	17	22
lncrna_rsid781.bed	14	16
lncrna_rsid782.bed	28	35
lncrna_rsid783.bed	19	33
lncrna_rsid784.bed	20	27
lncrna_rsid785.bed	16	34
lncrna_rsid786.bed	24	33
lncrna_rsid787.bed	18	30
lncrna_rsid788.bed	28	49
lncrna_rsid789.bed	16	17
lncrna_rsid790.bed	19	25
lncrna_rsid791.bed	16	25
lncrna_rsid792.bed	19	24
lncrna_rsid793.bed	27	51
lncrna_rsid794.bed	17	20
lncrna_rsid795.bed	20	25
lncrna_rsid796.bed	22	31
lncrna_rsid797.bed	25	30
lncrna_rsid798.bed	24	32
lncrna_rsid799.bed	32	59
lncrna_rsid800.bed	20	29
lncrna_rsid801.bed	15	24
lncrna_rsid802.bed	15	20
lncrna_rsid803.bed	23	31
lncrna_rsid804.bed	20	25
lncrna_rsid805.bed	28	34
lncrna_rsid806.bed	23	29
lncrna_rsid807.bed	19	22
lncrna_rsid808.bed	14	16
lncrna_rsid809.bed	35	51
lncrna_rsid810.bed	24	30
lncrna_rsid811.bed	26	39
lncrna_rsid812.bed	28	49
lncrna_rsid813.bed	24	29
lncrna_rsid814.bed	25	37
lncrna_rsid815.bed	23	32
lncrna_rsid816.bed	20	25
lncrna_rsid817.bed	23	30
lncrna_rsid818.bed	25	47
lncrna_rsid819.bed	18	24
lncrna_rsid820.bed	15	16
