random	SNP_n	Enh_n
roadmap_rsid178.tsv	422	421
roadmap_rsid179.tsv	429	428
roadmap_rsid180.tsv	427	426
roadmap_rsid181.tsv	451	450
roadmap_rsid182.tsv	459	457
roadmap_rsid183.tsv	432	432
roadmap_rsid184.tsv	448	446
roadmap_rsid185.tsv	427	425
roadmap_rsid186.tsv	435	434
roadmap_rsid187.tsv	441	440
roadmap_rsid188.tsv	429	429
roadmap_rsid189.tsv	426	424
roadmap_rsid190.tsv	431	430
roadmap_rsid191.tsv	412	410
roadmap_rsid192.tsv	478	477
roadmap_rsid193.tsv	449	447
roadmap_rsid194.tsv	451	451
roadmap_rsid195.tsv	403	403
roadmap_rsid196.tsv	457	456
roadmap_rsid197.tsv	440	438
roadmap_rsid198.tsv	430	430
roadmap_rsid199.tsv	443	443
roadmap_rsid200.tsv	440	439
roadmap_rsid201.tsv	450	450
roadmap_rsid202.tsv	402	401
roadmap_rsid203.tsv	450	449
roadmap_rsid204.tsv	447	446
roadmap_rsid205.tsv	447	446
roadmap_rsid206.tsv	434	432
roadmap_rsid207.tsv	439	438
roadmap_rsid208.tsv	421	420
roadmap_rsid209.tsv	444	444
roadmap_rsid210.tsv	409	408
roadmap_rsid211.tsv	438	436
roadmap_rsid212.tsv	446	444
roadmap_rsid213.tsv	433	433
roadmap_rsid214.tsv	436	436
roadmap_rsid215.tsv	442	442
roadmap_rsid216.tsv	418	418
roadmap_rsid217.tsv	414	413
roadmap_rsid218.tsv	445	444
roadmap_rsid219.tsv	449	447
roadmap_rsid220.tsv	405	404
roadmap_rsid221.tsv	441	440
roadmap_rsid222.tsv	469	468
roadmap_rsid223.tsv	421	421
roadmap_rsid224.tsv	432	430
roadmap_rsid225.tsv	420	420
roadmap_rsid226.tsv	435	435
roadmap_rsid227.tsv	418	418
roadmap_rsid228.tsv	450	450
roadmap_rsid229.tsv	440	440
roadmap_rsid230.tsv	471	470
roadmap_rsid231.tsv	447	447
roadmap_rsid232.tsv	446	446
roadmap_rsid233.tsv	418	418
roadmap_rsid234.tsv	390	390
roadmap_rsid235.tsv	416	416
roadmap_rsid236.tsv	438	437
roadmap_rsid237.tsv	451	451
roadmap_rsid238.tsv	414	415
roadmap_rsid239.tsv	419	419
roadmap_rsid240.tsv	443	443
roadmap_rsid241.tsv	429	426
roadmap_rsid242.tsv	457	455
roadmap_rsid243.tsv	435	434
roadmap_rsid244.tsv	438	436
roadmap_rsid245.tsv	427	427
roadmap_rsid246.tsv	423	421
roadmap_rsid247.tsv	421	419
roadmap_rsid248.tsv	431	431
roadmap_rsid249.tsv	428	429
roadmap_rsid250.tsv	431	431
roadmap_rsid251.tsv	450	450
roadmap_rsid252.tsv	427	427
roadmap_rsid253.tsv	467	466
roadmap_rsid254.tsv	414	414
roadmap_rsid255.tsv	422	421
roadmap_rsid256.tsv	430	430
roadmap_rsid257.tsv	430	428
roadmap_rsid258.tsv	454	454
roadmap_rsid259.tsv	445	444
roadmap_rsid260.tsv	457	456
roadmap_rsid261.tsv	430	430
roadmap_rsid262.tsv	415	415
roadmap_rsid263.tsv	448	447
roadmap_rsid264.tsv	445	445
roadmap_rsid265.tsv	414	414
roadmap_rsid266.tsv	448	447
roadmap_rsid267.tsv	484	484
roadmap_rsid268.tsv	419	417
roadmap_rsid269.tsv	433	432
roadmap_rsid270.tsv	405	405
roadmap_rsid271.tsv	475	475
roadmap_rsid272.tsv	473	472
roadmap_rsid273.tsv	428	427
roadmap_rsid274.tsv	440	439
roadmap_rsid275.tsv	407	407
roadmap_rsid276.tsv	402	399
roadmap_rsid277.tsv	459	459
roadmap_rsid278.tsv	433	431
roadmap_rsid279.tsv	412	412
roadmap_rsid280.tsv	438	435
roadmap_rsid281.tsv	455	454
roadmap_rsid282.tsv	444	444
roadmap_rsid283.tsv	435	435
roadmap_rsid284.tsv	430	431
roadmap_rsid285.tsv	443	443
roadmap_rsid286.tsv	429	428
roadmap_rsid287.tsv	454	454
roadmap_rsid288.tsv	424	424
roadmap_rsid289.tsv	460	455
roadmap_rsid290.tsv	466	466
roadmap_rsid291.tsv	422	422
roadmap_rsid292.tsv	442	440
roadmap_rsid293.tsv	439	438
roadmap_rsid294.tsv	425	425
roadmap_rsid295.tsv	437	436
roadmap_rsid296.tsv	496	496
roadmap_rsid297.tsv	421	418
roadmap_rsid298.tsv	452	451
roadmap_rsid299.tsv	432	432
roadmap_rsid300.tsv	441	440
roadmap_rsid301.tsv	440	439
roadmap_rsid302.tsv	414	413
roadmap_rsid303.tsv	425	425
roadmap_rsid304.tsv	476	475
roadmap_rsid305.tsv	425	425
roadmap_rsid306.tsv	467	467
roadmap_rsid307.tsv	441	439
roadmap_rsid308.tsv	421	420
roadmap_rsid309.tsv	439	437
roadmap_rsid310.tsv	458	458
roadmap_rsid311.tsv	420	420
roadmap_rsid312.tsv	423	421
roadmap_rsid313.tsv	410	409
roadmap_rsid314.tsv	421	421
roadmap_rsid315.tsv	441	440
roadmap_rsid316.tsv	459	458
roadmap_rsid317.tsv	426	426
roadmap_rsid318.tsv	426	426
roadmap_rsid319.tsv	394	394
roadmap_rsid320.tsv	460	460
roadmap_rsid321.tsv	453	452
roadmap_rsid322.tsv	414	413
roadmap_rsid323.tsv	446	446
roadmap_rsid324.tsv	431	430
roadmap_rsid325.tsv	414	414
roadmap_rsid326.tsv	470	470
roadmap_rsid327.tsv	409	409
roadmap_rsid328.tsv	453	453
roadmap_rsid329.tsv	437	437
roadmap_rsid330.tsv	439	438
roadmap_rsid331.tsv	413	413
roadmap_rsid332.tsv	474	473
roadmap_rsid333.tsv	434	433
roadmap_rsid334.tsv	472	472
roadmap_rsid335.tsv	410	410
roadmap_rsid336.tsv	465	465
roadmap_rsid337.tsv	446	446
roadmap_rsid338.tsv	457	456
roadmap_rsid339.tsv	422	421
roadmap_rsid340.tsv	431	430
roadmap_rsid341.tsv	453	453
roadmap_rsid342.tsv	419	419
roadmap_rsid343.tsv	405	405
roadmap_rsid344.tsv	442	441
roadmap_rsid345.tsv	417	416
roadmap_rsid346.tsv	446	445
roadmap_rsid347.tsv	431	431
roadmap_rsid348.tsv	434	434
roadmap_rsid349.tsv	439	439
roadmap_rsid350.tsv	401	399
roadmap_rsid351.tsv	469	469
roadmap_rsid352.tsv	466	465
roadmap_rsid353.tsv	456	456
roadmap_rsid354.tsv	418	416
roadmap_rsid355.tsv	449	448
roadmap_rsid356.tsv	449	449
roadmap_rsid357.tsv	434	433
roadmap_rsid358.tsv	426	424
roadmap_rsid359.tsv	457	457
roadmap_rsid360.tsv	438	437
roadmap_rsid361.tsv	463	461
roadmap_rsid362.tsv	480	479
roadmap_rsid363.tsv	420	420
roadmap_rsid364.tsv	443	443
roadmap_rsid365.tsv	430	429
roadmap_rsid366.tsv	417	417
roadmap_rsid367.tsv	473	473
roadmap_rsid368.tsv	435	436
roadmap_rsid369.tsv	436	436
roadmap_rsid370.tsv	423	423
roadmap_rsid371.tsv	439	439
roadmap_rsid372.tsv	497	495
roadmap_rsid373.tsv	472	472
roadmap_rsid374.tsv	424	423
roadmap_rsid375.tsv	478	476
roadmap_rsid376.tsv	447	446
roadmap_rsid377.tsv	460	459
roadmap_rsid378.tsv	431	431
roadmap_rsid379.tsv	415	415
roadmap_rsid380.tsv	457	456
roadmap_rsid381.tsv	449	449
roadmap_rsid382.tsv	428	427
roadmap_rsid383.tsv	436	434
roadmap_rsid384.tsv	448	448
roadmap_rsid385.tsv	422	421
roadmap_rsid386.tsv	435	435
roadmap_rsid387.tsv	416	415
roadmap_rsid388.tsv	427	427
roadmap_rsid389.tsv	433	432
roadmap_rsid390.tsv	458	457
roadmap_rsid391.tsv	434	433
roadmap_rsid392.tsv	406	405
roadmap_rsid393.tsv	432	431
roadmap_rsid394.tsv	423	422
roadmap_rsid395.tsv	437	436
roadmap_rsid396.tsv	421	420
roadmap_rsid397.tsv	456	454
roadmap_rsid398.tsv	419	419
roadmap_rsid399.tsv	421	421
roadmap_rsid400.tsv	438	438
roadmap_rsid401.tsv	461	461
roadmap_rsid402.tsv	433	432
roadmap_rsid403.tsv	441	441
roadmap_rsid404.tsv	431	430
roadmap_rsid405.tsv	432	433
roadmap_rsid406.tsv	432	431
roadmap_rsid407.tsv	467	465
roadmap_rsid408.tsv	407	406
roadmap_rsid409.tsv	449	448
roadmap_rsid410.tsv	418	418
roadmap_rsid411.tsv	465	463
roadmap_rsid412.tsv	419	419
roadmap_rsid413.tsv	445	443
roadmap_rsid414.tsv	440	438
roadmap_rsid415.tsv	421	421
roadmap_rsid416.tsv	442	441
roadmap_rsid417.tsv	441	440
roadmap_rsid418.tsv	421	421
roadmap_rsid419.tsv	426	426
roadmap_rsid420.tsv	449	449
roadmap_rsid421.tsv	454	454
roadmap_rsid422.tsv	441	439
roadmap_rsid423.tsv	449	449
roadmap_rsid424.tsv	438	437
roadmap_rsid425.tsv	428	428
roadmap_rsid426.tsv	466	465
roadmap_rsid427.tsv	426	426
roadmap_rsid428.tsv	445	445
roadmap_rsid429.tsv	446	446
roadmap_rsid430.tsv	430	430
roadmap_rsid431.tsv	440	440
roadmap_rsid432.tsv	452	451
roadmap_rsid433.tsv	427	427
roadmap_rsid434.tsv	401	401
roadmap_rsid435.tsv	448	446
roadmap_rsid436.tsv	443	443
roadmap_rsid437.tsv	394	393
roadmap_rsid438.tsv	434	433
roadmap_rsid439.tsv	447	447
roadmap_rsid440.tsv	423	422
roadmap_rsid441.tsv	434	434
roadmap_rsid442.tsv	458	457
roadmap_rsid443.tsv	439	437
roadmap_rsid444.tsv	447	447
roadmap_rsid445.tsv	430	429
roadmap_rsid446.tsv	443	443
roadmap_rsid447.tsv	456	456
roadmap_rsid448.tsv	452	452
roadmap_rsid449.tsv	426	426
roadmap_rsid450.tsv	447	446
roadmap_rsid451.tsv	419	418
roadmap_rsid452.tsv	392	392
roadmap_rsid453.tsv	432	431
roadmap_rsid454.tsv	429	427
roadmap_rsid455.tsv	425	425
roadmap_rsid456.tsv	443	443
roadmap_rsid457.tsv	445	444
roadmap_rsid458.tsv	433	433
roadmap_rsid459.tsv	436	434
roadmap_rsid460.tsv	455	454
roadmap_rsid461.tsv	417	417
